// Compost colors for ae2lt. You may add your own colors, change existing ones, or remove colors that aren't needed.
basic_topological_lattice, #e779a8
bulk_lightning_cell_component, #615057
bulk_lightning_storage_component, #84657c
celestweave_conduit, #eae0fa
celestweave_core, #e7def8
celestweave_oculus, #e4dcf7
celestweave_stride, #e8dcf8
clear_condensate, #ffff3c
closed_loop_pattern, #dae1f1
debug_lightning_rod, #ffdcfe
dense_topological_lattice, #ae517a
electro_chime_crystal, #9778b8
energy_module_t1, #d7bbd3
energy_module_t2, #d7bbd3
energy_module_t3, #d7bbd3
entangled_topological_lattice, #8e51b1
extended_overloaded_pattern_provider_upgrade, #ff98cc
firmament_alloy_ingot, #d4e7e8
firmament_dust, #b8cacc
firmament_essence, #c2d3d4
firmament_mixture, #98acaf
firmament_spirit_core_conduit, #d3d4ea
firmament_spirit_core_core, #d3d6eb
firmament_spirit_core_oculus, #d0d2e8
firmament_spirit_core_stride, #cccfe4
firmament_superconducting_wire, #bbcfd0
floating_matter, #d7bfbe
hyperdimensional_topological_lattice, #515fb1
inactive_firmament_spirit_core, #b9b9cd
infinite_storage_cell, #98a1dd
large_overload_crystal_bud, #ffb1eb
lightning_cell_component_i, #b8aecd
lightning_cell_component_ii, #b9aecf
lightning_cell_component_iii, #beb2d3
lightning_cell_component_iv, #c3b4d4
lightning_cell_component_v, #bcaacd
lightning_collapse_matrix, #feb4e3
lightning_item_cell_housing, #fb89bc
lightning_storage_component_i, #e6aaf2
lightning_storage_component_ii, #feb9f8
lightning_storage_component_iii, #e4bee0
lightning_storage_component_iv, #d9b5c6
lightning_storage_component_v, #f4c3c0
matter_warping_matrix_pattern_storage_upgrade, #d77d7c
medium_overload_crystal_bud, #ffafe4
module_creative_flight, #d7bbd3
module_dash, #d7bbd3
module_dig_affinity, #d7bbd3
module_laser_protection, #d7bbd3
module_matrix_shield, #d9bcd4
module_movement_assist, #c6b9ca
module_night_vision, #d7bbd3
module_phase_flight, #d6b9d2
module_phase_lock, #d7bbd3
module_phase_shield, #d6b9d2
module_purification, #d9bcd4
module_radiation_protection, #d7bbd3
module_reach_extension, #d7bbd3
module_reflect, #d7bbd3
module_saturation, #d7bbd2
module_undying, #d7bbd3
module_water_breathing, #d7bbd3
mysterious_cell, #ff96da
overload_alloy, #ff78ca
overload_alloy_blank, #ffacff
overload_alloy_plate, #ff91e3
overload_circuit_board, #ff9ae6
overload_crystal, #ff84c5
overload_crystal_cluster, #ffb4f2
overload_crystal_dust, #ffb5f4
overload_inscriber_press, #b2b2cc
overload_module_base, #cabccd
overload_pattern, #eacae7
overload_pattern_encoder, #f1b9dc
overload_processor, #896484
overload_singularity, #8e3462
overloaded_filter_component, #ebb9dc
overloaded_frequency_card, #e8c9ed
overloaded_pattern_provider_upgrade, #ffbba8
overloaded_wireless_connect_tool, #c390b2
perfect_electro_chime_crystal, #ff8acc
phase_lock_projection, #e7def8
phase_lock_projection_feet, #e8dcf8
phase_lock_projection_head, #e4dcf7
phase_lock_projection_legs, #eae0fa
pigmee_core, #d0b6ca
pigmee_item_cell_housing, #eea7ae
pigmee_storage_cell, #ffa7be
pigmee_storage_component, #caafc2
railgun_module_acceleration, #d7bbd3
railgun_module_compute, #d6bbd2
railgun_module_core, #d7bbd3
railgun_module_overload_execution, #d7bbd3
railgun_module_range, #c6b9ca
rain_condensate, #bcffff
research_note, #de9bee
small_overload_crystal_bud, #ffaeeb
thunderstorm_condensate, #ffc2ff
ultimate_overload_core, #d0bee3
unoverloaded_circuit_board, #ff8ed7
wireless_tianshu_pattern_encoding_terminal, #c5aeeb
