// Compost colors for cyber_ware_port. You may add your own colors, change existing ones, or remove colors that aren't needed.
arm_upgrades_bow, #f5f5f5
blueprint, #3a5eff
body_part_arm_left, #ffffff
body_part_arm_right, #ffffff
body_part_bones, #ffffff
body_part_brain, #ffffff
body_part_eyes, #f1cfc3
body_part_foot_left, #ffffff
body_part_foot_right, #ffffff
body_part_hand_left, #fff7eb
body_part_hand_right, #fff7eb
body_part_heart, #fff7f8
body_part_leg_left, #fcc9be
body_part_leg_right, #ffffff
body_part_lungs, #fff8fa
body_part_muscles, #ffffff
body_part_skin, #ffffff
body_part_stomach, #fffef7
bone_upgrades_bonebattery, #ffffff
bone_upgrades_boneflex, #d6f2c9
bone_upgrades_bonelacing, #ffffff
brain_upgrades_consciousness_transmitter, #ffffff
brain_upgrades_cortical_stack, #e8f1e1
brain_upgrades_ender_jammer, #ffffff
brain_upgrades_matrix, #985f5c
brain_upgrades_neural_contextualizer, #a4737a
brain_upgrades_radio, #ffffff
component_actuator, #ffffff
component_fiberoptics, #797979
component_fullerene, #aaaaaa
component_microelectric, #ffffff
component_plating, #cfcfcf
component_reactor, #cde8c5
component_ssc, #e0f2cd
component_storage, #fbfbfb
component_synthnerves, #ffffff
component_titanium, #ffffff
creative_battery, #f1a8e7
cybereye_upgrades_hudjack, #7c5f75
cybereye_upgrades_night_vision, #617d55
cybereye_upgrades_targeting, #a17866
cybereye_upgrades_underwater_vision, #6c847d
cybereye_upgrades_zoom, #9e9766
cybereyes, #a4bfb9
cyberheart, #a5524e
cyberlimbs_cyberarm_left, #ffffff
cyberlimbs_cyberarm_right, #ffffff
cyberlimbs_cyberleg_left, #ffffff
cyberlimbs_cyberleg_right, #ffffff
cyberware_workbench, #868686
dense_battery, #78896e
exp_capsule, #75ac5c
foot_upgrades_aqua, #dedede
foot_upgrades_spurs, #f5f5f5
foot_upgrades_wheels, #ffffff
hand_upgrades_claws, #ffffff
hand_upgrades_craft_hands, #ebd6d2
hand_upgrades_mining, #e7e7e7
heart_upgrades_coupler, #ffffff
heart_upgrades_defibrillator, #655252
heart_upgrades_medkit, #875b82
heart_upgrades_platelets, #905475
katana, #9e9e9e
leg_upgrades_fall_damage, #c2c2c2
leg_upgrades_jump_boost, #ffffff
lower_organs_upgrades_adrenaline, #fffffa
lower_organs_upgrades_battery, #658058
lower_organs_upgrades_liver_filter, #ffe6e6
lower_organs_upgrades_metabolic, #ffffff
lungs_upgrades_hyperoxygenation, #7c7c7c
lungs_upgrades_oxygen, #ffffff
muscle_upgrades_muscle_replacements, #c5466f
muscle_upgrades_wired_reflexes, #667f7c
neuropozyne, #a8af9b
scanner, #ffffff
skin_upgrades_fake_skin, #c0a8a2
skin_upgrades_immuno, #c9f2c5
skin_upgrades_solar_skin, #ffeae6
skin_upgrades_subdermal_spikes, #ffffff
surgery_chamber, #7c7c7c
