// Compost colors for infinite_domain_cyberware. You may add your own colors, change existing ones, or remove colors that aren't needed.
arrhythmic_aux_pump, #8d4840
arrhythmic_pump_core, #91524a
bent_leftleg_actuator, #a2615a
bent_leftleg_pair, #87463d
bent_rightleg_actuator, #a0645c
bent_rightleg_pair, #84463e
calibrated_ablative_skin, #9effff
calibrated_aortic_turbine, #6bd2d9
calibrated_cortex_mesh, #72d6dd
calibrated_gravitic_lacing, #b8ffff
calibrated_horizon_lens, #6ed3da
calibrated_hyperlung, #6ed4dc
calibrated_leftarm_mantis_drive, #90f5fe
calibrated_leftleg_vector_drive, #87ebf2
calibrated_metabolic_forge, #6cd2d9
calibrated_reflex_myomer, #64c8d0
calibrated_rightarm_mantis_drive, #86e7f0
calibrated_rightleg_vector_drive, #89edf4
cracked_optic_array, #834139
cracked_optic_rig, #8d4e47
darknet_entropy_gut, #b47cff
darknet_ghost_coprocessor, #b883ff
darknet_leftarm_arc_limb, #d08eff
darknet_leftleg_blink_stride, #c98cff
darknet_nullweave, #da9eff
darknet_omnivision_array, #b473ff
darknet_phylactery_pump, #ab6ffb
darknet_rightarm_arc_limb, #c893ff
darknet_rightleg_blink_stride, #c890ff
darknet_sandevistan_mesh, #ac73fe
darknet_singularity_skeleton, #f0b5ff
darknet_void_breather, #ae78ff
datavore_control_core, #b580ff
delaminated_dermis, #8a4a41
fouled_metabolic_mesh, #8a4a43
fouled_nutrient_reclaimer, #905048
fragmented_coprocessor, #94544d
frayed_myomer_bundle, #894841
frayed_neural_bus, #7f413a
ghost_circuit_lattice, #b17aff
leaky_oxygen_baffle, #894b44
patchwork_dermal_mesh, #b2726b
punctured_air_cell, #91524a
quantum_synapse_matrix, #be80ff
reclaimed_capacitor_frame, #fffbd4
reclaimed_chem_filter, #b99e76
reclaimed_gill_exchanger, #b1966f
reclaimed_leftarm_tooling, #dcc09a
reclaimed_leftleg_tendon, #d6bb94
reclaimed_platelet_engine, #a48a66
reclaimed_reactive_dermis, #f1d7b1
reclaimed_reflex_cache, #c2a77d
reclaimed_rightarm_tooling, #ddbf94
reclaimed_rightleg_tendon, #d4b994
reclaimed_spectrum_array, #b29770
reclaimed_torque_fiber, #ac916b
seized_leftarm_cluster, #87463d
seized_leftarm_servo, #a4655e
seized_rightarm_cluster, #82463e
seized_rightarm_servo, #a2665f
torn_myomer_bundle, #804741
void_shield_mesh, #ae73ff
warped_frame_strut, #93544b
warped_lattice_splint, #c68780
