// Compost colors for infinite_domain_space. You may add your own colors, change existing ones, or remove colors that aren't needed.
emergency_boots, #ff9d2a
emergency_chestplate, #ff9d2a
emergency_helmet, #ff9e2d
emergency_leggings, #ff9d2a
extended_boots, #8e97ff
extended_chestplate, #8e97ff
extended_helmet, #9098ff
extended_leggings, #8e97ff
heavy_boots, #697c90
heavy_chestplate, #697c90
heavy_helmet, #6b7d91
heavy_leggings, #697c90
lunar_prospector_boots, #ffee8d
lunar_prospector_chestplate, #ffee8d
lunar_prospector_helmet, #ffee8e
lunar_prospector_leggings, #ffee8d
martian_boots, #ee5c34
martian_chestplate, #ee5c34
martian_helmet, #ee5e37
martian_leggings, #ee5c34
mobility_boots, #6fffb6
mobility_chestplate, #6fffb6
mobility_helmet, #70ffb8
mobility_leggings, #6fffb6
radiation_boots, #fffc2c
radiation_chestplate, #fffc2c
radiation_helmet, #fffc2f
radiation_leggings, #fffc2c
surveyor_boots, #43d2ff
surveyor_chestplate, #43d2ff
surveyor_helmet, #44d2ff
surveyor_leggings, #43d2ff
venusian_boots, #ff872f
venusian_chestplate, #ff872f
venusian_helmet, #ff8932
venusian_leggings, #ff872f
