// Compost colors for mekanite_mobs. You may add your own colors, change existing ones, or remove colors that aren't needed.
base_mekanite_pistol, #bcc0be
base_mekanite_pistol_fusion, #c8e3d0
electric_web, #89de8a
mekanite_armor_boots, #44722c
mekanite_armor_chestplate, #5a963c
mekanite_armor_helmet, #46752f
mekanite_armor_leggings, #44722d
mekanite_fire_axe, #cccf9a
mekanite_fire_axe_ligado, #daf2ac
mekanite_pistol, #bcc0be
mekanite_pistol_fusion, #c8e3d0
mekanite_plasma_shield, #9affbc
mekanite_trident_electric, #79a2de
mekanite_trident_electric_on, #79a2de
metal_bone, #ffffff
reinforced_end_pearl, #4b7d4b
reinforced_gunpowder, #416c41
shoot, #9dffa0
shoot_fusion, #9dffa0
