// Compost colors for oritech. You may add your own colors, change existing ones, or remove colors that aren't needed.
adamant_dust, #6ba5de
adamant_ingot, #82b9f0
advanced_battery, #827573
advanced_computing_engine, #c8abb4
banana, #fff826
basic_battery, #485a69
biomass, #5b751f
biosteel_dust, #8cb28a
biosteel_ingot, #97be96
camo_paint, #70876e
carbon_fibre_strands, #2a282c
chainsaw, #aa9069
clay_catalyst_beads, #86877c
coal_dust, #2f2d32
copper_clump, #b1805f
copper_dust, #ea7f57
copper_gem, #fa805a
copper_nugget, #f57f58
diamond_paint, #7c97a2
dubios_container, #18a087
duratium_dust, #725e8c
duratium_ingot, #64517a
electrum_dust, #d98d14
electrum_ingot, #deae64
enderic_compound, #4e4057
enderic_lens, #a1837a
energite_dust, #ff75ff
energite_ingot, #ff7aff
exo_boots, #202330
exo_chestplate, #7c7668
exo_helmet, #1b1c29
exo_jetpack, #87734e
exo_leggings, #282a3a
flux_gate, #7c5a5f
fluxite, #8e51cd
fluxite_paint, #beaaab
gold_clump, #ffcf3c
gold_dust, #ffdc30
gold_gem, #ffd937
hand_drill, #76a797
heisenberg_compensator, #c3368d
industrial_paint, #bbb187
ion_thruster, #9db8b9
iron_clump, #c0a587
iron_dust, #b9b9b9
iron_gem, #dad7d6
jetpack, #876e5b
jetpack_elytra, #726455
jetpack_exo_elytra, #786c57
magnetic_coil, #b97954
motor, #838279
netherite_paint, #8e8473
nickel_clump, #bbab8a
nickel_dust, #a4892c
nickel_gem, #bea47f
nickel_ingot, #c0a14d
nickel_nugget, #a08633
orange_paint, #bc9b72
overcharged_crystal, #2c120e
packed_wheat, #f2ca64
plastic_sheet, #eadabf
platinum_clump, #64d0c3
platinum_dust, #6bfffa
platinum_gem, #5ce0d2
platinum_ingot, #a7fff7
platinum_nugget, #76d0cf
plutonium_dust, #ff98ff
plutonium_pellet, #eb3368
polymer_resin, #8e7952
processing_unit, #396c96
prometheum_ingot, #91b2be
quartz_dust, #eedccd
raw_biopolymer, #4d611e
raw_nickel, #c8b590
raw_platinum, #65e0cf
raw_silicon, #ffffff
raw_uranium, #ccc8a
redstone_paint, #a16e6e
reinforced_carbon_sheet, #6f6262
sculk_paint, #7d8082
silicon, #262523
silicon_wafer, #dccdb4
small_copper_clump, #a27d5f
small_copper_dust, #e47f5b
small_gold_clump, #ffb82d
small_gold_dust, #ffda50
small_iron_clump, #af967c
small_iron_dust, #b4b4b4
small_nickel_clump, #a79678
small_nickel_dust, #9b822d
small_platinum_clump, #65cfc9
small_platinum_dust, #69ffff
small_plutonium_dust, #ff91ee
small_plutonium_pellet, #e07aa4
small_uranium_dust, #73ee52
small_uranium_pellet, #a0ca7d
solid_biofuel, #a83022
steel_dust, #5e6464
steel_ingot, #646969
still_biofuel_bucket, #9ea294
still_diesel_bucket, #b4ac90
still_fuel_bucket, #a4a29e
still_heavy_oil_bucket, #939393
still_mineral_slurry_bucket, #afbcbf
still_naphtha_bucket, #b29d9e
still_oil_bucket, #949698
still_sheol_fire_bucket, #c6a091
still_silicon_wash_bucket, #90c6cc
still_steam_bucket, #bbb9b8
still_strange_matter_bucket, #aa9da8
still_sulfuric_acid_bucket, #acb491
super_ai_chip, #5c5843
target_designator, #a5a2a2
unholy_intelligence, #445c75
uranium_crystal, #ad73e
uranium_dust, #43ff7d
uranium_gem, #5faf4b
uranium_pellet, #c3430e
weed_killer, #bca2ff
white_paint, #c5c5c5
wither_crop_block, #225ca2
wrench, #c3a454
