// Compost colors for petrochem. You may add your own colors, change existing ones, or remove colors that aren't needed.
air_bucket, #bfc2c5
blaze_candy, #696e72
bronze_ingot, #be864e
bronze_sheet, #c38e55
butane_bucket, #bfc2bc
caustic_soda, #aab1b1
chlorine_bucket, #c0c0b8
desalted_oil_bucket, #938a8e
desulfurized_heavy_diesel_bucket, #b59e9e
desulfurized_heavy_naphta_bucket, #beb9a8
desulfurized_kerosene_bucket, #a5c0be
diesel_bucket, #c6aeae
ethylene_bucket, #bfc2c3
fuel_oil_bucket, #9d9d9d
gasoline_bucket, #bebbab
heavy_diesel_bucket, #bcb5a8
heavy_gas_oil_bucket, #aaafb2
heavy_naphta_bucket, #bcb9ab
heavy_oil_residue_bucket, #9a9a9a
hydrocracked_gasoline_bucket, #c0b9a7
hydrogen_bucket, #bfbfbf
hydrogen_sulfide_bucket, #c8c3be
hydrotreated_gas_oil_bucket, #acabb4
kerosene_bucket, #aebcb5
light_diesel_bucket, #c0bbae
light_gas_oil_bucket, #aab4b8
light_naphta_bucket, #bfbeb2
lpg_bucket, #c2c3bf
lubricant_bucket, #c3bba5
nitrogen_bucket, #b9bbc5
oil_brine_bucket, #9b9da0
oil_bucket, #9d9b9b
oil_residue_bucket, #a09898
oxygen_bucket, #b6bcc3
petroleum_bucket, #a29398
petroleum_coke, #555a5e
plastic_bucket, #b6b6b4
propane_bucket, #bfb9c2
salt_dust, #cdcdcd
steam_bucket, #bfbfbf
steel_ingot, #727272
steel_sheet, #848484
sulfur_dust, #fced44
sulfuric_acid_bucket, #c6c8a7
tin_nugget, #c9cad4
untreated_gasoline_bucket, #bfb8a4
volatile_gas_bucket, #c8c5be
