// Compost colors for powergrid. You may add your own colors, change existing ones, or remove colors that aren't needed.
acid_bucket, #bcb9a4
barretter_tube, #e6d0c2
bjt_npn, #d2cdc6
bjt_pnp, #d9ccbf
capacitor, #dcccc6
circuit_board, #835746
circuit_schematic, #70b2b1
copper_coil, #f08e6f
copper_cord, #705746
debug, #f1ff93
diode, #8d6455
electrical_gizmo, #c0b4ac
empty_circuit, #55361f
golden_wire, #f19a32
incomplete_battery, #9a9d8e
incomplete_bjt_npn, #faaf9d
incomplete_bjt_pnp, #ffaf94
incomplete_circuit, #6b3e25
incomplete_electrical_gizmo, #b5bea7
incomplete_punch_card, #ddc2a1
incomplete_transformer_core, #878787
incomplete_unetched_circuit, #d26b46
insulated_copper_wire, #645143
integrated_circuit, #726b90
iron_wire, #989898
magnet, #706c6f
neon_bulb, #faa475
potato_battery, #f0af61
potentiometer, #a0938d
punch_card, #d9be9d
redstone_relay, #b4a8a4
regulator_tube, #e1a4de
relay, #b9b2ae
relay_dpdt, #b9b4af
resistive_coil, #aaabaa
resistor, #987587
string_light_cord, #7a6141
unetched_circuit, #bb6543
varistor, #ca433e
vfet, #ffa8ac
wire, #ea7d5b
wire_cutter, #726255
zinc_sheet, #9ddec0
