// Compost colors for primitivestart. You may add your own colors, change existing ones, or remove colors that aren't needed.
bone_arrow, #ded0ae
bone_axe, #ccbb90
bone_hoe, #b4a072
bone_pickaxe, #ccbb8e
bone_shears, #ffffff
bone_shovel, #dccda4
bone_sword, #fffff8
plated_bone_arrow, #dec378
plated_bone_axe, #d0ac50
plated_bone_hoe, #b6943e
plated_bone_pickaxe, #d3b55b
plated_bone_shears, #ffff86
plated_bone_shovel, #e3c36c
plated_bone_sword, #fffe72
plating_upgrade_smithing_template, #faf5dc
reinforced_bone_arrow, #bca883
reinforced_bone_axe, #ab8a5c
reinforced_bone_hoe, #96784a
reinforced_bone_pickaxe, #a89064
reinforced_bone_shears, #f8bf93
reinforced_bone_shovel, #b8a178
reinforced_bone_sword, #ddbb8e
reinforcement_upgrade_smithing_template, #c36919
