// Compost colors for spore. You may add your own colors, change existing ones, or remove colors that aren't needed.
acid, #41ff34
acid_ball, #4eff43
acid_vial, #577046
acidic_gland, #9d6251
altered_spleen, #750c22
alveolic_sack, #9d474d
amalgamated_heart, #801829
amalgamated_roast, #afa8a0
amethyst_dust, #e1a8ff
armads, #ff7f90
armor_fragment, #dca88d
armor_plate, #dc9d8a
bile, #ffb943
bile_tumor, #a4402c
bile_vial, #6c5c3a
biomass, #fff1f1
biomass_bacon, #904e4a
biomass_lump, #904434
boomerang, #ffa4aa
brain_noodles, #ab8258
bucket_of_bile, #ddc29e
calcified_tumor, #984352
cerebrum, #e3a79a
circuit_board, #516e29
claw, #ffffed
claw_fragment, #fff0c8
cleaver, #ffb6b8
combat_pickaxe, #ff9ba1
combat_shovel, #ffc2bb
compound, #ffe8ff
compound_plate, #d0c9dd
cooked_torso, #a1362c
corrosive_reagent, #d0b680
corrosive_sack, #402a15
corrupted_record, #e4dcdc
cryogenic_reagent, #a09bac
decayed_limbs, #6b696c
decayed_torso, #4d5150
documents, #504b4b
eldritch_sushi, #c0b5ac
evo_syringe, #805462
fang, #9d947d
fiber_stew, #863016
fins, #737964
flesh_horse_armor, #b4073c
fleshy_bone, #a04e57
fleshy_claw, #fab9a5
fleshy_ribs, #a86961
forgotten_record, #764e4e
forsaken_record, #a5ab20
fried_wing_membrane, #c56222
frozen_decayed_biomass, #b17c9b
frozen_reinforced_door, #787c89
frozen_tumor, #643e65
fungal_bonemeal, #ae7358
fungal_burger, #a57346
fungal_roots, #cdaa9b
fungal_sauce, #793415
fungal_stem_sapling, #fff5f5
gas_mask, #3a3a3a
gastric_reagent, #e17a4d
greatsword, #ff909a
growth_mycelium, #be9797
growths_big, #b47d76
growths_small, #e3977f
halberd, #ff798a
hardened_bind, #edaa97
hardening_agent, #f7ebe8
heart_kebab, #6c1b20
hyperbolized_liver, #c9825e
ice_canister, #515e5f
illusion_spawnegg, #ffffcc
inf_boots, #dd7878
inf_chest, #e7837f
inf_helmet, #e68783
inf_pants, #d34d61
inf_up_boots, #d07a79
inf_up_chest, #e77279
inf_up_helmet, #d2968e
inf_up_pants, #b64d58
infected_bow, #feaaab
infected_crossbow, #ff949a
infected_spear, #ff8c96
innards, #ffebe6
integrating_agent, #f7dde1
iron_ladder, #c0c3bf
knife, #ffa0a1
ligaments, #ff9bb2
living_boots, #d90044
living_chest, #ac0b3a
living_core, #d39482
living_helmet, #c30e44
living_horse_armor, #f08a89
living_pants, #bf003c
mace, #ff8491
maul, #ffa2a8
meaty_icecream, #b45e37
milky_sack, #cf7a7a
mutated_fiber, #760f25
mutated_heart, #6f0f22
mutation_syringe, #7dcddd
mycelium_veins, #bc7568
nerves, #ffc9b6
organoid_membrane, #d94851
organoid_soup, #915237
plated_boots, #f2ab96
plated_chest, #f2aa94
plated_helmet, #f4ab96
plated_horse_armor, #f5ae98
plated_muscle, #a83441
plated_pants, #eda08c
r_elytron, #d6395f
r_wing, #a13c43
rapier, #ffc0ab
reaver, #f5ffff
reforged_biomass_a, #b4aaa2
reforged_biomass_t, #b9917d
reforged_biomass_w, #797965
reinforced_door, #6b6c6c
respirator, #897876
roasted_heart_kebab, #7c4a37
roasted_tumor, #965c50
rotten_branch, #7f7566
rotten_bush, #827868
rotten_crops, #4b4334
rotten_fern, #7c7262
rotten_grass, #827666
rusted_reinforced_door, #705551
rusted_vent_plate, #75615c
saber, #ff7f8a
sausage, #79362f
scanner, #96afbf
scent_spawnegg, #fffffa
scythe, #fc8c8d
serrated_reagent, #aa7266
sharpening_agent, #ffffff
shield_fragment, #fff7ee
sicken_tumor, #483916
sickle, #ff7386
sickle_fragment, #d22525
skull_soup, #837073
slice_of_heartpie, #c2322a
spike, #89736f
spine, #ebdac0
spine_fragment, #edd4c5
stuffed_abomination, #beb2a7
stuffed_torso, #7a787d
symbiotic_reagent, #f77084
syringe, #aab5c3
tendon_gum, #ffa0b5
tendons, #ff728a
toxin_vial, #3e3d47
tumor, #841229
vent_plate, #7a7d84
vigil_eye_soup, #877248
voracious_reagent, #a54d5a
wing_membrane, #af3430
