// Compost colors for supplementaries. You may add your own colors, change existing ones, or remove colors that aren't needed.
antique_ink, #665c72
ash, #847d76
ash_brick, #847c78
bamboo_spikes, #ffeb8d
bamboo_spikes_tipped, #ffffff
barnacles, #c2c5be
blast_armor_trim_smithing_template, #6f7f7f
bomb, #656b7f
bomb_blue, #2c4390
bomb_spiky, #413258
bubble_blower, #fcffff
bunting_black, #414150
bunting_blue, #4a54b8
bunting_brown, #a15f32
bunting_cyan, #259ab2
bunting_gray, #5b666c
bunting_green, #308939
bunting_light_blue, #2fc8fe
bunting_light_gray, #a8b2ae
bunting_lime, #73cc3c
bunting_magenta, #e443f2
bunting_orange, #ff8230
bunting_pink, #ff7fab
bunting_purple, #6f2dae
bunting_red, #bf2a2c
bunting_white, #ffffff
bunting_yellow, #ffe43a
candle_holder, #e3ded9
candle_holder_black, #b8b9c9
candle_holder_blue, #bbc5e1
candle_holder_brown, #cac3c3
candle_holder_cyan, #b1d0d9
candle_holder_gray, #c2c8d2
candle_holder_green, #c0cabe
candle_holder_light_blue, #b6d3ea
candle_holder_light_gray, #cccfd6
candle_holder_lime, #c8dcc0
candle_holder_magenta, #d4bcde
candle_holder_orange, #e3cabe
candle_holder_pink, #e1ccdd
candle_holder_purple, #c8b8e1
candle_holder_red, #d4bbc2
candle_holder_white, #dae1ea
candle_holder_yellow, #e1dac6
candy, #ff5e97
cannon, #574337
cannon_boat_acacia, #8a5a40
cannon_boat_birch, #9d8c69
cannon_boat_cherry, #c0908a
cannon_boat_dark_oak, #614833
cannon_boat_jungle, #846550
cannon_boat_mangrove, #75473e
cannon_boat_oak, #877051
cannon_boat_spruce, #705840
cannon_raft_bamboo, #86754a
cannonball, #6f7686
cartographers_quill, #ffffda
crank, #aea494
dispenser_minecart, #737675
dragon_banner_pattern, #fffff1
faucet, #807d7d
fire_pit, #eeac8e
flax, #65a05f
flax_seeds, #9a782c
flower_box, #7d4a28
flute, #ffe8ab
globe, #827c52
globe_sepia, #d09348
goblet, #8d8984
gold_bars, #ffe13c
gold_door, #ffe83d
gold_gate, #ffe43d
hat_stand, #b2915c
hourglass, #e8dc9e
iron_gate, #ffffff
item_shelf, #b28e54
key, #ffc034
lumisene_bottle, #ffffff
lumisene_bucket, #d6d3cd
music_disc_heave_ho, #905a19
netherite_door, #413d3d
pancake, #ffffd9
rope, #a47552
rope_arrow, #ac947f
sconce, #ffffff
sconce_green, #93a27a
sconce_lever, #b97569
sconce_soul, #ffffff
slice_map, #ffffc8
slingshot, #6e582c
soap, #ffcaff
statue, #7f7f7f
timber_brace, #7a5832
timber_cross_brace, #7a5832
timber_frame, #795832
way_sign_acacia, #c96b36
way_sign_bamboo, #ffffff
way_sign_birch, #e6cf8a
way_sign_cherry, #ffffff
way_sign_crimson, #904464
way_sign_dark_oak, #6e4a25
way_sign_jungle, #ffffff
way_sign_mangrove, #ffffff
way_sign_oak, #d6aa64
way_sign_spruce, #8c6639
way_sign_warped, #3c968e
wild_flax, #7a9e57
wind_vane, #ffffff
wrench, #c55c2f
