// Compost colors for tfmg. You may add your own colors, change existing ones, or remove colors that aren't needed.
air_bucket, #c3c3c5
aluminum_axe, #a79d90
aluminum_door, #d9c3ca
aluminum_hoe, #91826b
aluminum_ingot, #e8f0fe
aluminum_ladder, #ffffff
aluminum_nugget, #e7eafb
aluminum_pickaxe, #988e83
aluminum_sheet, #fcffff
aluminum_shovel, #aca293
aluminum_spool, #7a665b
aluminum_sword, #c8c8d6
aluminum_wire, #bec0d7
asphalt_mixture, #2d2d2d
bauxite_powder, #865554
bitumen, #4b474b
black_multimeter, #585c5a
blue_multimeter, #5c6f8e
brown_multimeter, #734736
butane_bucket, #bfbec0
capacitor_item, #7970a1
carbon_dioxide_bucket, #b9b9b9
cast_iron_ingot, #5b5b61
cast_iron_ladder, #4d4d52
cast_iron_nugget, #504e54
cast_iron_sheet, #5e5c62
centrifuge, #d3d7e7
cinderblock, #ccccca
cinderflourblock, #983e3e
circuit_board, #3e5c33
coal_coke, #696866
coal_coke_dust, #6e6e6b
coated_circuit_board, #97873a
concrete_mixture, #d4d4d4
constantan_ingot, #fbe4cc
constantan_ladder, #ebcfb5
constantan_nugget, #ead0bb
constantan_spool, #7d614d
constantan_wire, #f5dac0
cooling_fluid_bottle, #d0ffff
cooling_fluid_bucket, #abbfbf
copper_grenade, #237f94
copper_spool, #734430
copper_sulfate, #3ea5ff
copper_wire, #a75244
creosote_bucket, #8d8a8a
crude_oil_bucket, #909091
crushed_raw_lithium, #e4cfb8
cyan_multimeter, #848d97
debug_cinderblock, #ccccca
diesel_bucket, #c9b6a7
diesel_engine_cylinder, #dadcdc
electricians_wrench, #a05c65
electromagnetic_coil, #867270
empty_circuit_board, #2c5f16
empty_spool, #573925
engine_cylinder, #dadcdc
etched_circuit_board, #466b20
ethylene_bucket, #bcbcbe
fireclay_ball, #61322f
fireproof_brick, #73302c
furnace_gas_bucket, #c3c3c5
gasoline_bucket, #bbb2a1
golden_turbo, #ffc94d
gray_multimeter, #757079
green_multimeter, #4e8636
heavy_casing_door, #6b7a83
heavy_oil_bucket, #6e6c6e
heavy_plate, #6b7379
heavy_plated_door, #61686e
hot_air_bucket, #c3c3c5
hydrogen_bucket, #c0c2c3
kerosene_bucket, #a4a7d0
lead_axe, #615e51
lead_hoe, #685e46
lead_ingot, #6b7d8d
lead_ladder, #627884
lead_nugget, #4a5570
lead_pickaxe, #615c52
lead_sheet, #657889
lead_shovel, #696557
lead_sword, #525b6b
light_blue_multimeter, #8a98e7
light_gray_multimeter, #96aea8
lime_multimeter, #7fa193
limesand, #fffae4
liquid_asphalt_bucket, #808280
liquid_concrete_bucket, #acaeac
liquid_silicon_bucket, #bfbfc9
lit_lithium_blade, #d38780
lithium_blade, #6f7379
lithium_charge, #d7daea
lithium_ingot, #f1ddc6
lithium_nugget, #e0ccb5
lpg_bucket, #c8c5c0
lubrication_oil_bucket, #b5b4a7
magenta_multimeter, #be55af
magnet, #5b5b5b
magnetic_alloy_ingot, #5a5b66
magnetic_alloy_sheet, #5e5f6b
mixer_blade, #9a9ea0
molten_plastic_bucket, #d0d3e8
molten_slag_bucket, #d3c69b
molten_steel_bucket, #d0bc9d
multimeter, #d28c64
n_semiconductor, #ffbcfe
napalm_bucket, #b8beaf
napalm_potato, #fbc35e
naphtha_bucket, #9b847f
neon_bucket, #c2c3c5
nickel_ingot, #eef0e3
nickel_ladder, #fbfeee
nickel_nugget, #e4e6da
nickel_sheet, #f4f5e8
nitrate_dust, #ffffff
oil_hammer, #a5a0a8
orange_multimeter, #ff8e8a
p_semiconductor, #b5ffc6
pink_multimeter, #f2a5ed
pipe_bomb, #827f7f
plastic_sheet, #eef5ff
propane_bucket, #bbbcbb
propylene_bucket, #bcbebc
purple_multimeter, #904aa2
raw_lead, #798e9b
raw_lithium, #e1ccb4
raw_nickel, #d6cfaf
rebar, #8e8784
red_multimeter, #8d363a
rubber_sheet, #303234
screw, #5f686e
screwdriver, #bb6b70
silicon_ingot, #cad6ff
simple_engine_cylinder, #dadcdc
slag, #caa893
spark_plug, #bebbc2
steel_axe, #6c6451
steel_door, #6f6f6e
steel_hoe, #6c5e40
steel_ingot, #666f76
steel_ladder, #5f666e
steel_mechanism, #899196
steel_nugget, #6b7379
steel_pickaxe, #665e48
steel_shovel, #736954
steel_sword, #5f6464
sulfur_dust, #ffff5c
sulfuric_acid_bucket, #cccdb9
synthetic_leather, #947364
synthetic_string, #bfe6dc
thermite_grenade, #94252c
thermite_powder, #790412
transistor_item, #5a514b
turbine_blade, #b1b4b4
turbo, #c9cde3
unfinished_capacitor, #7970a8
unfinished_circuit_board, #466b20
unfinished_electromagnetic_coil, #6e757a
unfinished_resistor, #7f9aff
unfinished_steel_mechanism, #6b7278
unfinished_transistor, #302f2d
unprocessed_heavy_plate, #6c757a
white_multimeter, #d0dcf5
yellow_multimeter, #c98e15
zinc_grenade, #23944e
