chapter,quest_id,title,task_types,checkmark
"abyssal_recovery.snbt","5AB0550C00000003","Return the Navigation Core","item;biome","false"
"abyssal_recovery.snbt","5AB0550C00000006","Return the Data Recorder","item;biome","false"
"abyssal_recovery.snbt","5AB0550C00000007","Two Sides of the Abyss","item;item","false"
"abyssal_recovery.snbt","5AB0550C0000000A","Pelagos Fracture Observatory","biome;structure","false"
"abyssal_recovery.snbt","5AB0550C0000000B","Pelagos Hadal Probe Station","biome;structure","false"
"abyssal_recovery.snbt","5AB0550C0000000E","Karsic Fracture Listening Post","biome;structure","false"
"abyssal_recovery.snbt","5AB0550C0000000F","Karsic Hadal Blacksite","biome;structure","false"
"abyssal_recovery.snbt","5AB0550C00000010","The Abyss Compared","structure;structure","false"
"air_sea_global_logistics.snbt","5E00000000000006","Ballast and Propulsion","item;item","false"
"another_lost_soul.snbt","7D194089522507AB","Another Lost Soul","checkmark","true"
"another_lost_soul.snbt","6F01000000000001","How This Quest Book Works","checkmark","true"
"another_lost_soul.snbt","6F01000000000002","Completion, Consumption, and Rewards","checkmark","true"
"another_lost_soul.snbt","6002100000000001","Alone or Together","checkmark","true"
"another_lost_soul.snbt","6002100000000002","One Party, One Expedition Ledger","checkmark","true"
"another_lost_soul.snbt","6002100000000003","Claim the First Homestead","checkmark","true"
"another_lost_soul.snbt","6002100000000004","Protection Is Not Chunk Loading","checkmark","true"
"another_lost_soul.snbt","6002100000000009","Spawn Hub: Leave a Route Home","checkmark","true"
"another_lost_soul.snbt","6002100000000005","Spawn Hub: Know the Safe Ground","checkmark","true"
"another_lost_soul.snbt","6002100000000006","Spawn Hub: Rules, Quests, and Public Space","checkmark","true"
"another_lost_soul.snbt","6002100000000007","Spawn Hub: Meet the Quartermaster","checkmark","true"
"another_lost_soul.snbt","6002100000000008","Spawn Hub: Rebuild the Herds","checkmark","true"
"another_lost_soul.snbt","6F01000000000010","A Proper Introduction","checkmark","true"
"another_lost_soul.snbt","6F01000000000011","The Line Between Us","checkmark","true"
"another_lost_soul.snbt","6F01000000000012","The World You Inherited","checkmark","true"
"another_lost_soul.snbt","6F01000000000013","The Last Days","checkmark","true"
"another_lost_soul.snbt","6F01000000000014","The Work Ahead","checkmark","true"
"another_lost_soul.snbt","6F01000000000020","INTERFACE INDEX // Field Quest Hardware","checkmark","true"
"another_lost_soul.snbt","6F01000000000021","DISPLAY ARRAY // Task Screens","checkmark","true"
"another_lost_soul.snbt","6F01000000000022","BINDING TOOL // Task Screen Configurator","checkmark","true"
"another_lost_soul.snbt","6F01000000000023","SIGNAL OUTPUT // Quest Detectors","checkmark","true"
"another_lost_soul.snbt","6F01000000000024","HAZARD CONTROL // Quest and Stage Barriers","checkmark","true"
"another_lost_soul.snbt","6F01000000000025","REWARD HANDLING // Loot Crate Equipment","checkmark","true"
"applied_energistics_recovery.snbt","5A0000000000000A","Terminal and Drive","item;item","false"
"brewery_and_winery.snbt","6B01000000000001","Three Fermentation Crops","item;item;item","false"
"brewery_and_winery.snbt","6B01000000000002","Malt and Bittering","item;item","false"
"brewery_and_winery.snbt","6B01000000000003","Mash and Living Culture","item;item;item","false"
"brewery_and_winery.snbt","6B01000000000004","Brewery's Three Vats","item;item;item","false"
"brewery_and_winery.snbt","6B01000000000005","Create Winery's Two Grapes","item;item","false"
"brewery_and_winery.snbt","6B01000000000006","Press for Pomace and Must","item;item;item","false"
"brewery_and_winery.snbt","6B01000000000008","A Representative Cellar Reserve","item;item;item","false"
"create_big_cannons_doctrine.snbt","6F10000000000001","Establish the Cannon Foundry","item;item;item;item","false"
"create_big_cannons_doctrine.snbt","6F10000000000002","Machine the Barrel Works","item;item","false"
"create_big_cannons_doctrine.snbt","6F10000000000003","Cast the First Cannon","item;item;item;item","false"
"create_big_cannons_doctrine.snbt","6F10000000000004","Inspect the Gun Assembly","checkmark","true"
"create_big_cannons_doctrine.snbt","6F10000000000006","Build the Loading Train","item;item;item","false"
"create_big_cannons_doctrine.snbt","6F10000000000007","Mount the Artillery","item;item","false"
"create_big_cannons_doctrine.snbt","6F1000000000000A","Establish Misfire Procedure","checkmark","true"
"create_big_cannons_doctrine.snbt","6F1000000000000B","Prove the Firing Drill","checkmark","true"
"create_big_cannons_doctrine.snbt","6F1000000000000C","Automate Traverse and Elevation","item;item","false"
"create_big_cannons_doctrine.snbt","6F1000000000000D","Develop Fuzed Ammunition","item;item","false"
"create_big_cannons_doctrine.snbt","6F1000000000000E","Commission the Autocannon Line","item;item;item;item;item","false"
"create_big_cannons_doctrine.snbt","6F1000000000000F","Artillery Battery Commissioned","checkmark","true"
"create_specialist_workshops.snbt","6F00000000000002","Exhaust Stack Fabrication","item;item","false"
"create_specialist_workshops.snbt","6F00000000000003","Flue Draft Acceptance","checkmark","true"
"create_specialist_workshops.snbt","6F00000000000005","Linear Bearing Assembly","item;item","false"
"create_specialist_workshops.snbt","6F00000000000006","Magnetic Port and Torsional Anchor","item;item","false"
"create_specialist_workshops.snbt","6F00000000000007","Linear Motion Qualification","checkmark","true"
"create_specialist_workshops.snbt","6F00000000000008","Walkway Step Fabrication","item;item","false"
"create_specialist_workshops.snbt","6F0000000000000B","Station Platform Fittings","item;item;item","false"
"create_specialist_workshops.snbt","6F0000000000000C","Announcement and Signal Equipment","item;item","false"
"create_specialist_workshops.snbt","6F0000000000000D","Public Transit Acceptance","checkmark","true"
"create_specialist_workshops.snbt","6F0000000000000F","Sequential Gearbox Control","item;item","false"
"create_specialist_workshops.snbt","6F00000000000010","Compact Drivetrain Qualification","checkmark","true"
"create_specialist_workshops.snbt","6F00000000000011","Delivery Contracting Office","item;item;item","false"
"create_specialist_workshops.snbt","6F00000000000012","Contract Handling Acceptance","checkmark","true"
"create_specialist_workshops.snbt","6F00000000000013","Public Market and Valuation","item;item","false"
"create_specialist_workshops.snbt","6F00000000000014","Point-to-Point Consignment","item;item","false"
"create_specialist_workshops.snbt","6F00000000000015","Consignment Continuity Trial","checkmark","true"
"create_specialist_workshops.snbt","6F00000000000016","Hypertube Transit Works","item;item;item","false"
"create_specialist_workshops.snbt","6F00000000000017","Hypertube Junction Control","item;item;item","false"
"create_specialist_workshops.snbt","6F00000000000018","Hypertube Network Acceptance","checkmark","true"
"cyberware_ascension.snbt","5B0000000000000B","Robotic Assistance","item;item","false"
"darknet_draconic_convergence.snbt","5B10000000000003","Darknet Data Extraction","item;item","false"
"darknet_draconic_convergence.snbt","5B10000000000004","Return Before the Carrier Drops","item;checkmark","true"
"darknet_draconic_convergence.snbt","5B10000000000006","Fire Dragon Specimens","item;item;item;item;item;item","false"
"darknet_draconic_convergence.snbt","5B10000000000007","Fire Dragonforge Plant","item;item;item","false"
"darknet_draconic_convergence.snbt","5B1000000000000A","Ice Dragon Specimens","item;item;item;item;item;item","false"
"darknet_draconic_convergence.snbt","5B1000000000000B","Ice Dragonforge Plant","item;item;item","false"
"darknet_draconic_convergence.snbt","5B1000000000000E","Lightning Dragon Specimens","item;item;item;item;item;item","false"
"darknet_draconic_convergence.snbt","5B1000000000000F","Lightning Dragonforge Plant","item;item;item","false"
"darknet_draconic_convergence.snbt","5B10000000000012","Incubation Is Elemental","item;checkmark","true"
"darknet_draconic_convergence.snbt","5B10000000000013","Command, Recall, and Storage","item;item;item","false"
"darknet_draconic_convergence.snbt","5B10000000000014","Draconic Industrial Partnership","checkmark;item;item;item;item","true"
"darknet_draconic_convergence.snbt","5B10000000000015","Three Breaths, One Industrial Doctrine","item;item;item","false"
"darknet_draconic_convergence.snbt","5B10000000000016","Overworld Carrier Materials","item;item;item","false"
"domain_compendium.snbt","7C0DE0C000000001","Open the Compendium","checkmark","true"
"domain_compendium.snbt","7C0DE10000000001","Minecraft 1","item;item;item;item;item;item;item;item;item;item;item;item;item;item;item;item;item;item;item;item;item;item;item;item;item;item;item;item;item;item;item;item;item;item;item;item;item;item;item;item","false"
"domain_compendium.snbt","7C0DE10000000002","Minecraft 2","item;item;item;item;item;item;item;item;item;item;item;item;item;item;item;item;item;item;item;item;item;item;item;item;item;item;item;item;item;item;item;item;item;item;item;item;item;item;item;item","false"
"domain_compendium.snbt","7C0DE10000000003","Minecraft 3","item;item;item;item;item;item;item;item;item;item;item;item;item;item;item;item;item;item;item;item;item;item;item;item;item;item;item;item;item;item;item;item;item;item;item;item;item;item;item;item","false"
"domain_compendium.snbt","7C0DE10000000004","Minecraft 4","item;item;item;item;item;item;item;item;item;item;item;item;item;item;item;item;item;item;item;item;item;item;item;item;item;item;item;item;item;item;item;item;item;item;item;item;item;item;item;item","false"
"domain_compendium.snbt","7C0DE10000000005","Minecraft 5","item;item;item;item;item;item;item;item;item;item;item;item;item;item;item;item;item;item;item;item;item;item;item;item;item;item;item;item;item;item;item;item;item;item;item;item;item;item;item;item","false"
"domain_compendium.snbt","7C0DE10000000006","Minecraft 6","item;item;item;item;item;item;item;item;item;item;item;item;item;item;item;item;item;item;item;item;item;item;item;item;item;item;item;item;item;item;item;item;item;item;item;item;item;item;item;item","false"
"domain_compendium.snbt","7C0DE10000000007","Minecraft 7","item;item;item;item;item;item;item;item;item;item;item;item;item;item;item;item;item;item;item;item;item;item;item;item;item;item;item;item;item;item;item;item;item;item;item;item;item;item;item;item","false"
"domain_compendium.snbt","7C0DE10000000008","Minecraft 8","item;item;item;item;item;item;item;item;item;item;item;item;item;item;item;item;item;item;item;item;item;item;item;item;item;item;item;item;item;item;item;item;item;item;item;item;item;item;item;item","false"
"domain_compendium.snbt","7C0DE10000000009","Minecraft 9","item;item;item;item;item;item;item;item;item;item;item;item;item;item;item;item;item;item;item;item;item;item;item;item;item;item;item;item;item;item;item;item;item;item;item;item;item;item;item;item","false"
"domain_compendium.snbt","7C0DE1000000000A","Minecraft 10","item;item;item;item;item;item;item;item;item;item;item;item;item;item;item;item;item;item;item;item;item;item;item;item;item;item;item;item;item;item;item;item;item;item;item;item;item;item;item;item","false"
"domain_compendium.snbt","7C0DE1000000000B","Minecraft 11","item;item;item;item;item;item;item;item;item;item;item;item;item;item;item;item;item;item;item;item;item;item;item;item;item;item;item;item;item;item;item;item;item;item;item;item;item;item;item;item","false"
"domain_compendium.snbt","7C0DE1000000000C","Minecraft 12","item;item;item;item;item;item;item;item;item;item;item;item;item;item;item;item;item;item;item;item;item;item;item;item;item;item;item;item;item;item;item;item;item;item;item;item;item;item;item;item","false"
"domain_compendium.snbt","7C0DE1000000000D","Minecraft 13","item;item;item;item;item;item;item;item;item;item;item;item;item;item;item;item;item;item;item;item;item;item;item;item;item;item;item;item;item;item;item;item;item;item;item;item;item;item;item;item","false"
"domain_compendium.snbt","7C0DE1000000000E","Minecraft 14","item;item;item;item;item;item;item;item;item;item;item;item;item;item;item;item;item;item;item;item;item;item;item;item;item;item;item;item;item;item;item;item;item;item;item;item;item;item;item;item","false"
