bag,rolls,item,weight,min_count,max_count,per_roll_probability
era0_priority_cache,4,the_wasteland_reworked:bandage,18,1,3,0.191489
era0_priority_cache,4,wastelands:purified_water,18,1,3,0.191489
era0_priority_cache,4,wastelands:canned_food,18,1,3,0.191489
era0_priority_cache,4,wastelands:filter_canister,10,1,2,0.106383
era0_priority_cache,4,minecraft:coal,10,4,12,0.106383
era0_priority_cache,4,minecraft:iron_ingot,6,1,3,0.06383
era0_priority_cache,4,spore:gas_mask,2,1,1,0.021277
era0_priority_cache,4,the_wasteland_reworked:scrap_metal,12,2,6,0.12766
era1_supply_bag,2,create:andesite_alloy,18,2,6,0.193548
era1_supply_bag,2,create:shaft,14,4,12,0.150538
era1_supply_bag,2,create:cogwheel,14,2,6,0.150538
era1_supply_bag,2,create:large_cogwheel,10,1,3,0.107527
era1_supply_bag,2,create:belt_connector,12,1,3,0.129032
era1_supply_bag,2,minecraft:copper_ingot,12,2,6,0.129032
era1_supply_bag,2,farmersdelight:rope,8,2,6,0.086022
era1_supply_bag,2,sophisticatedstorage:upgrade_base,5,1,1,0.053763
era1_priority_cache,4,create:precision_mechanism,14,1,1,0.159091
era1_priority_cache,4,create:brass_ingot,14,1,3,0.159091
era1_priority_cache,4,create:brass_casing,7,1,1,0.079545
era1_priority_cache,4,create:mechanical_bearing,7,1,1,0.079545
era1_priority_cache,4,create:electron_tube,12,1,3,0.136364
era1_priority_cache,4,create:sturdy_sheet,8,1,2,0.090909
era1_priority_cache,4,sophisticatedstorage:upgrade_base,12,1,2,0.136364
era1_priority_cache,4,create:belt_connector,14,2,5,0.159091
era2_supply_bag,2,tfmg:steel_ingot,18,1,3,0.189474
era2_supply_bag,2,tfmg:coal_coke,16,2,6,0.168421
era2_supply_bag,2,tfmg:heavy_plate,12,1,3,0.126316
era2_supply_bag,2,tfmg:fireproof_bricks,14,2,6,0.147368
era2_supply_bag,2,tfmg:cast_iron_pipe,10,2,6,0.105263
era2_supply_bag,2,createmetallurgy:graphite_ingot_mold,7,1,1,0.073684
era2_supply_bag,2,createreautomated:node_fragment,8,1,2,0.084211
era2_supply_bag,2,tfmg:steel_cogwheel,10,1,3,0.105263
era2_priority_cache,4,tfmg:steel_mechanism,15,1,2,0.166667
era2_priority_cache,4,tfmg:heavy_plate,15,2,5,0.166667
era2_priority_cache,4,tfmg:steel_casing,10,1,2,0.111111
era2_priority_cache,4,tfmg:steel_fluid_tank,8,1,2,0.088889
era2_priority_cache,4,tfmg:steel_mechanical_pump,8,1,1,0.088889
era2_priority_cache,4,create:sturdy_sheet,12,1,3,0.133333
era2_priority_cache,4,createreautomated:node_fragment,10,2,4,0.111111
era2_priority_cache,4,tfmg:fireproof_brick_reinforcement,12,2,5,0.133333
era3_supply_bag,2,tfmg:plastic_sheet,16,2,6,0.16
era3_supply_bag,2,tfmg:rubber_sheet,16,2,6,0.16
era3_supply_bag,2,petrochem:sulfur_dust,16,2,6,0.16
era3_supply_bag,2,petrochem:petroleum_coke,14,2,6,0.14
era3_supply_bag,2,petrochem:steel_fluid_pipe,12,2,6,0.12
era3_supply_bag,2,tfmg:steel_pipe,10,2,6,0.1
era3_supply_bag,2,createdieselgenerators:engine_piston,7,1,2,0.07
era3_supply_bag,2,petrochem:bronze_sheet,9,1,3,0.09
era3_priority_cache,4,tfmg:circuit_board,13,1,2,0.146067
era3_priority_cache,4,petrochem:steel_fluid_tank,12,1,2,0.134831
era3_priority_cache,4,createdieselgenerators:pumpjack_head,8,1,1,0.089888
era3_priority_cache,4,createdieselgenerators:engine_piston,12,1,3,0.134831
era3_priority_cache,4,petrochem:sulfuric_acid_bucket,6,1,1,0.067416
era3_priority_cache,4,tfmg:plastic_block,10,1,2,0.11236
era3_priority_cache,4,tfmg:rubber_sheet,14,4,8,0.157303
era3_priority_cache,4,petrochem:steel_sheet,14,2,5,0.157303
era4_supply_bag,2,create_new_age:copper_wire,16,4,12,0.166667
era4_supply_bag,2,powergrid:insulated_copper_wire,16,4,12,0.166667
era4_supply_bag,2,powergrid:copper_coil,12,1,3,0.125
era4_supply_bag,2,powergrid:circuit_board,12,1,3,0.125
era4_supply_bag,2,create_new_age:layered_magnet,10,1,3,0.104167
era4_supply_bag,2,powergrid:wire_connector,12,2,6,0.125
era4_supply_bag,2,powergrid:resistive_coil,10,1,3,0.104167
era4_supply_bag,2,create_new_age:overcharged_iron_wire,8,1,3,0.083333
era4_priority_cache,4,powergrid:integrated_circuit,14,1,2,0.159091
era4_priority_cache,4,powergrid:portable_battery,8,1,1,0.090909
era4_priority_cache,4,powergrid:transformer_core,12,1,2,0.136364
era4_priority_cache,4,create_new_age:generator_coil,12,1,2,0.136364
era4_priority_cache,4,create_new_age:copper_circuit,14,1,3,0.159091
era4_priority_cache,4,powergrid:heavy_wire_connector,10,1,3,0.113636
era4_priority_cache,4,create_new_age:basic_motor,6,1,1,0.068182
era4_priority_cache,4,powergrid:battery,12,1,2,0.136364
era5_supply_bag,2,ae2:certus_quartz_crystal,16,4,12,0.170213
era5_supply_bag,2,ae2:fluix_crystal,14,2,6,0.148936
era5_supply_bag,2,ae2:fluix_glass_cable,14,4,12,0.148936
era5_supply_bag,2,ae2:logic_processor,10,1,2,0.106383
era5_supply_bag,2,oritech:biosteel_ingot,12,1,3,0.12766
era5_supply_bag,2,oritech:motor,10,1,2,0.106383
era5_supply_bag,2,createcybernetics:component_wiring,10,1,3,0.106383
era5_supply_bag,2,createcybernetics:component_storage,8,1,2,0.085106
era5_priority_cache,4,ae2:engineering_processor,14,1,2,0.170732
era5_priority_cache,4,ae2:calculation_processor,14,1,2,0.170732
era5_priority_cache,4,ae2:cell_component_4k,10,1,1,0.121951
