era,chapter,quest_id,quest_title,reward_item
1,era_01_mechanical_reconstruction.snbt,7B0BD6C189192D75,Pressing Work,kubejs:era1_supply_bag
1,era_01_mechanical_reconstruction.snbt,28D17AA502A74353,Collect the Output,kubejs:era1_supply_bag
1,era_01_mechanical_reconstruction.snbt,4CCA9DDD52BF8576,Meals Beyond the Campfire,kubejs:era1_supply_bag
1,era_01_mechanical_reconstruction.snbt,6101000000000001,"Teeth, Shafts, and the Apparently Mysterious Wheel",kubejs:era1_supply_bag
1,era_01_mechanical_reconstruction.snbt,6101000000000004,Measure Speed Before Complaining About It,kubejs:era1_supply_bag
1,era_01_mechanical_reconstruction.snbt,6101000000000007,Parallel Motion in a Proper Casing,kubejs:era1_supply_bag
1,era_01_mechanical_reconstruction.snbt,6101000000000008,"Two Shafts and a Belt—Yes, Both Shafts",kubejs:era1_priority_cache
2,era_02_heavy_industry.snbt,4210000000000004,Cut at Production Scale,kubejs:era2_supply_bag
2,era_02_heavy_industry.snbt,4210000000000008,Heavy Local Handling,kubejs:era2_priority_cache
3,era_03_petrochemical_civilization.snbt,4310000000000002,Refinery Output Bank,kubejs:era3_supply_bag
3,era_03_petrochemical_civilization.snbt,4310000000000004,Chemical Vat,kubejs:era3_supply_bag
3,era_03_petrochemical_civilization.snbt,4310000000000008,Turbocharged Risk,kubejs:era3_priority_cache
4,era_04_the_electrical_grid.snbt,4410000000000004,Battery Buffer,kubejs:era4_supply_bag
4,era_04_the_electrical_grid.snbt,4410000000000008,Switching by Voltage,kubejs:era4_priority_cache
5,era_05_automated_industry.snbt,4510000000000004,Local Autocrafting,kubejs:era5_supply_bag
5,era_05_automated_industry.snbt,4510000000000008,Titanium Interface,kubejs:era5_priority_cache
6,era_06_high_energy_and_nuclear_engineering.snbt,4610000000000004,Full Protective Set,kubejs:era6_supply_bag
6,era_06_high_energy_and_nuclear_engineering.snbt,4610000000000008,High-Capacity Battery,kubejs:era6_priority_cache
7,era_07_orbital_industry.snbt,4710000000000004,Jet Suit Research,kubejs:era7_supply_bag
7,era_07_orbital_industry.snbt,4710000000000008,Cargo Upgrade,kubejs:era7_priority_cache
8,era_08_infinite_domain.snbt,4810000000000005,Final Cybernetic Choice,kubejs:era8_supply_bag
8,era_08_infinite_domain.snbt,4810000000000007,Quantum Ring,kubejs:era8_priority_cache
