item_id,mod_namespace,audit_scope,equipment_type,inclusion_evidence,active_recipe_count,recipe_ids,recipe_types,required_materials_or_tags,effective_recipe_sources,quest_reference_count,quest_references,earliest_realistic_era,earliest_era_evidence,mining_tier,mineable_block_hardness,mining_speed,durability,energy_capacity,attack_damage,attack_speed,range,ammunition_or_energy_use,special_abilities,environmental_advantages,repair_method,renewable_resource_requirements,overlap_or_invalidation,recommended_era,recommended_adjustment,progression_role,property_evidence_status,confirmation_notes
ae2:certus_quartz_axe,ae2,player_tool_or_weapon,_axe,direct_equipment_registry_suffix,1,ae2:tools/certus_quartz_axe,minecraft:crafting_shaped,#c:gems/certus_quartz;quark:stick_block,kubejs_override:Infinite Domain,0,,,,,,,,,,,,,,,,,,,,,needs_static_or_in_game_confirmation,Do not infer missing stats from registry name or recipe
ae2:certus_quartz_cutting_knife,ae2,player_tool_or_weapon,_knife,direct_equipment_registry_suffix,1,ae2:tools/certus_quartz_cutting_knife,minecraft:crafting_shaped,#c:gems/certus_quartz;allthecompressed:iron_block_2x;quark:stick_block,kubejs_override:Infinite Domain,0,,,,,,,,,,,,,,,,,,,,,needs_static_or_in_game_confirmation,Do not infer missing stats from registry name or recipe
ae2:certus_quartz_hoe,ae2,player_tool_or_weapon,_hoe,direct_equipment_registry_suffix,1,ae2:tools/certus_quartz_hoe,minecraft:crafting_shaped,#c:gems/certus_quartz;quark:stick_block,kubejs_override:Infinite Domain,0,,,,,,,,,,,,,,,,,,,,,needs_static_or_in_game_confirmation,Do not infer missing stats from registry name or recipe
ae2:certus_quartz_pickaxe,ae2,player_tool_or_weapon,_pickaxe,direct_equipment_registry_suffix,1,ae2:tools/certus_quartz_pickaxe,minecraft:crafting_shaped,#c:gems/certus_quartz;quark:stick_block,kubejs_override:Infinite Domain,0,,,,,,,,,,,,,,,,,,,,,needs_static_or_in_game_confirmation,Do not infer missing stats from registry name or recipe
ae2:certus_quartz_shovel,ae2,player_tool_or_weapon,_shovel,direct_equipment_registry_suffix,1,ae2:tools/certus_quartz_spade,minecraft:crafting_shaped,#c:gems/certus_quartz;quark:stick_block,kubejs_override:Infinite Domain,0,,,,,,,,,,,,,,,,,,,,,needs_static_or_in_game_confirmation,Do not infer missing stats from registry name or recipe
ae2:certus_quartz_sword,ae2,player_tool_or_weapon,_sword,direct_equipment_registry_suffix,1,ae2:tools/certus_quartz_sword,minecraft:crafting_shaped,#c:gems/certus_quartz;quark:stick_block,kubejs_override:Infinite Domain,0,,,,,,,,,,,,,,,,,,,,,needs_static_or_in_game_confirmation,Do not infer missing stats from registry name or recipe
ae2:charged_staff,ae2,powered_or_ranged_equipment,powered_or_ranged_equipment,powered_equipment_registry_name,1,ae2:tools/misctools_charged_staff,minecraft:crafting_shaped,ae2:charged_certus_quartz_crystal;allthecompressed:iron_block_2x,kubejs_override:Infinite Domain,0,,,,,,,,,,,,,,,,,,,,,needs_static_or_in_game_confirmation,Do not infer missing stats from registry name or recipe
ae2:fluix_axe,ae2,player_tool_or_weapon,_axe,direct_equipment_registry_suffix,1,ae2:tools/fluix_axe,minecraft:smithing_transform,#ae2:quartz_axe;ae2:fluix_block;ae2:fluix_upgrade_smithing_template,mod_jar:appliedenergistics2-19.2.17.jar,0,,,,,,,,,,,,,,,,,,,,,needs_static_or_in_game_confirmation,Do not infer missing stats from registry name or recipe
ae2:fluix_hoe,ae2,player_tool_or_weapon,_hoe,direct_equipment_registry_suffix,1,ae2:tools/fluix_hoe,minecraft:smithing_transform,#ae2:quartz_hoe;ae2:fluix_block;ae2:fluix_upgrade_smithing_template,mod_jar:appliedenergistics2-19.2.17.jar,0,,,,,,,,,,,,,,,,,,,,,needs_static_or_in_game_confirmation,Do not infer missing stats from registry name or recipe
ae2:fluix_pickaxe,ae2,player_tool_or_weapon,_pickaxe,direct_equipment_registry_suffix,1,ae2:tools/fluix_pickaxe,minecraft:smithing_transform,#ae2:quartz_pickaxe;ae2:fluix_block;ae2:fluix_upgrade_smithing_template,mod_jar:appliedenergistics2-19.2.17.jar,0,,,,,,,,,,,,,,,,,,,,,needs_static_or_in_game_confirmation,Do not infer missing stats from registry name or recipe
