category,registry_id,industrial_role,verified_in_registry
Fruit,minecraft:apple,"Apple pulp, juice, concentrate, soda",true
Fruit,minecraft:sweet_berries,"Berry pulp, juice, concentrate, soda",true
Fruit,jaffabricate:orange,"Orange pulp, juice, concentrate, soda",true
Vegetable,farmersdelight:cabbage,"Vegetable blend, broth, meals",true
Vegetable,farmersdelight:onion,Vegetable blend and seasoning,true
Vegetable,farmersdelight:tomato,Vegetable blend and meals,true
Grain,farmersdelight:rice,Prepared meals and ration starch,true
Fermentation,brewery:brewers_yeast,Reusable CO2 culture,true
Aromatic,brewery:hop,Seasoning and stimulant extraction,true
Mineral,petrochem:salt_dust,"Seasoning, preservation, electrolyte blend",true
Process water,wastelands:purified_water,Manufactured beverages and broth,true
Packaging,immersiveengineering:plate_aluminum,Beverage cans through shared plate tag,true
Packaging,immersiveengineering:plate_steel,Food cans through shared plate tag,true
