TargetPath,LegacySheet,SourceBox,BackupPath,Action
textures/gui/hanging_signs/acacia.png,textures/gui/hanging_signs/acacia.png,"0,0,16,16",ROOT_tools\vanilla_reconciliation_backup\gui_placeholders\textures\gui\hanging_signs\acacia.png,ExtractedExactVanillaMappedSprite
textures/gui/hanging_signs/bamboo.png,textures/gui/hanging_signs/bamboo.png,"0,0,16,16",ROOT_tools\vanilla_reconciliation_backup\gui_placeholders\textures\gui\hanging_signs\bamboo.png,ExtractedExactVanillaMappedSprite
textures/gui/hanging_signs/birch.png,textures/gui/hanging_signs/birch.png,"0,0,16,16",ROOT_tools\vanilla_reconciliation_backup\gui_placeholders\textures\gui\hanging_signs\birch.png,ExtractedExactVanillaMappedSprite
textures/gui/hanging_signs/cherry.png,textures/gui/hanging_signs/cherry.png,"0,0,16,16",ROOT_tools\vanilla_reconciliation_backup\gui_placeholders\textures\gui\hanging_signs\cherry.png,ExtractedExactVanillaMappedSprite
textures/gui/hanging_signs/crimson.png,textures/gui/hanging_signs/crimson.png,"0,0,16,16",ROOT_tools\vanilla_reconciliation_backup\gui_placeholders\textures\gui\hanging_signs\crimson.png,ExtractedExactVanillaMappedSprite
textures/gui/hanging_signs/dark_oak.png,textures/gui/hanging_signs/dark_oak.png,"0,0,16,16",ROOT_tools\vanilla_reconciliation_backup\gui_placeholders\textures\gui\hanging_signs\dark_oak.png,ExtractedExactVanillaMappedSprite
textures/gui/hanging_signs/jungle.png,textures/gui/hanging_signs/jungle.png,"0,0,16,16",ROOT_tools\vanilla_reconciliation_backup\gui_placeholders\textures\gui\hanging_signs\jungle.png,ExtractedExactVanillaMappedSprite
textures/gui/hanging_signs/mangrove.png,textures/gui/hanging_signs/mangrove.png,"0,0,16,16",ROOT_tools\vanilla_reconciliation_backup\gui_placeholders\textures\gui\hanging_signs\mangrove.png,ExtractedExactVanillaMappedSprite
textures/gui/hanging_signs/oak.png,textures/gui/hanging_signs/oak.png,"0,0,16,16",ROOT_tools\vanilla_reconciliation_backup\gui_placeholders\textures\gui\hanging_signs\oak.png,ExtractedExactVanillaMappedSprite
textures/gui/hanging_signs/spruce.png,textures/gui/hanging_signs/spruce.png,"0,0,16,16",ROOT_tools\vanilla_reconciliation_backup\gui_placeholders\textures\gui\hanging_signs\spruce.png,ExtractedExactVanillaMappedSprite
textures/gui/hanging_signs/warped.png,textures/gui/hanging_signs/warped.png,"0,0,16,16",ROOT_tools\vanilla_reconciliation_backup\gui_placeholders\textures\gui\hanging_signs\warped.png,ExtractedExactVanillaMappedSprite
textures/gui/sprites/advancements/box_obtained.png,textures/gui/advancements/widgets.png,"0,0,200,26",ROOT_tools\vanilla_reconciliation_backup\gui_placeholders\textures\gui\sprites\advancements\box_obtained.png,ExtractedExactVanillaMappedSprite
textures/gui/sprites/advancements/box_unobtained.png,textures/gui/advancements/widgets.png,"0,26,200,52",ROOT_tools\vanilla_reconciliation_backup\gui_placeholders\textures\gui\sprites\advancements\box_unobtained.png,ExtractedExactVanillaMappedSprite
textures/gui/sprites/advancements/challenge_frame_obtained.png,textures/gui/advancements/widgets.png,"26,128,52,154",ROOT_tools\vanilla_reconciliation_backup\gui_placeholders\textures\gui\sprites\advancements\challenge_frame_obtained.png,ExtractedExactVanillaMappedSprite
textures/gui/sprites/advancements/challenge_frame_unobtained.png,textures/gui/advancements/widgets.png,"26,154,52,180",ROOT_tools\vanilla_reconciliation_backup\gui_placeholders\textures\gui\sprites\advancements\challenge_frame_unobtained.png,ExtractedExactVanillaMappedSprite
textures/gui/sprites/advancements/goal_frame_obtained.png,textures/gui/advancements/widgets.png,"52,128,78,154",ROOT_tools\vanilla_reconciliation_backup\gui_placeholders\textures\gui\sprites\advancements\goal_frame_obtained.png,ExtractedExactVanillaMappedSprite
textures/gui/sprites/advancements/goal_frame_unobtained.png,textures/gui/advancements/widgets.png,"52,154,78,180",ROOT_tools\vanilla_reconciliation_backup\gui_placeholders\textures\gui\sprites\advancements\goal_frame_unobtained.png,ExtractedExactVanillaMappedSprite
textures/gui/sprites/advancements/tab_above_left_selected.png,textures/gui/advancements/tabs.png,"0,64,56,128",ROOT_tools\vanilla_reconciliation_backup\gui_placeholders\textures\gui\sprites\advancements\tab_above_left_selected.png,ExtractedExactVanillaMappedSprite
textures/gui/sprites/advancements/tab_above_left.png,textures/gui/advancements/tabs.png,"0,0,56,64",ROOT_tools\vanilla_reconciliation_backup\gui_placeholders\textures\gui\sprites\advancements\tab_above_left.png,ExtractedExactVanillaMappedSprite
textures/gui/sprites/advancements/tab_above_middle_selected.png,textures/gui/advancements/tabs.png,"56,64,112,128",ROOT_tools\vanilla_reconciliation_backup\gui_placeholders\textures\gui\sprites\advancements\tab_above_middle_selected.png,ExtractedExactVanillaMappedSprite
textures/gui/sprites/advancements/tab_above_middle.png,textures/gui/advancements/tabs.png,"56,0,112,64",ROOT_tools\vanilla_reconciliation_backup\gui_placeholders\textures\gui\sprites\advancements\tab_above_middle.png,ExtractedExactVanillaMappedSprite
textures/gui/sprites/advancements/tab_above_right_selected.png,textures/gui/advancements/tabs.png,"112,64,168,128",ROOT_tools\vanilla_reconciliation_backup\gui_placeholders\textures\gui\sprites\advancements\tab_above_right_selected.png,ExtractedExactVanillaMappedSprite
