"Namespace","TexturePath","Category","Width","Height","Animated","Covered","ExcludedCyberworld","Priority","SourceJars"
"ae2","textures/block/controller_column_lights.png","block","16","192","True","True","False","115","appliedenergistics2-19.2.17.jar"
"ae2","textures/block/controller_lights.png","block","16","192","True","True","False","115","appliedenergistics2-19.2.17.jar"
"ae2","textures/block/crg.png","block","32","64","True","True","False","115","appliedenergistics2-19.2.17.jar"
"ae2","textures/block/fluix_block_center.png","block","16","32","True","True","False","115","appliedenergistics2-19.2.17.jar"
"ae2","textures/block/fluix_block_empty.png","block","16","32","True","True","False","115","appliedenergistics2-19.2.17.jar"
"ae2","textures/block/fluix_block_h.png","block","16","32","True","True","False","115","appliedenergistics2-19.2.17.jar"
"ae2","textures/block/fluix_block_v.png","block","16","32","True","True","False","115","appliedenergistics2-19.2.17.jar"
"ae2","textures/block/fluix_block.png","block","16","32","True","True","False","115","appliedenergistics2-19.2.17.jar"
"ae2","textures/block/growth_accelerator_side_on.png","block","16","32","True","True","False","115","appliedenergistics2-19.2.17.jar"
"ae2","textures/block/growth_accelerator_top_on.png","block","16","32","True","True","False","115","appliedenergistics2-19.2.17.jar"
"ae2","textures/block/molecular_assembler_lights.png","block","16","192","True","True","False","115","appliedenergistics2-19.2.17.jar"
"ae2","textures/block/mysterious_cube_bottom.png","block","16","352","True","True","False","115","appliedenergistics2-19.2.17.jar"
"ae2","textures/block/mysterious_cube_core.png","block","16","32","True","True","False","115","appliedenergistics2-19.2.17.jar"
"ae2","textures/block/mysterious_cube_side.png","block","16","352","True","True","False","115","appliedenergistics2-19.2.17.jar"
"ae2","textures/block/mysterious_cube_top.png","block","16","352","True","True","False","115","appliedenergistics2-19.2.17.jar"
"ae2","textures/block/quantum_ring_light_corner.png","block","16","512","True","True","False","115","appliedenergistics2-19.2.17.jar"
"ae2","textures/block/quantum_ring_light.png","block","16","512","True","True","False","115","appliedenergistics2-19.2.17.jar"
"ae2","textures/block/spatial_anchor_front_on.png","block","16","32","True","True","False","115","appliedenergistics2-19.2.17.jar"
"ae2","textures/block/spatial_anchor_side_on.png","block","16","32","True","True","False","115","appliedenergistics2-19.2.17.jar"
"ae2","textures/block/spatial_anchor_top_on.png","block","16","32","True","True","False","115","appliedenergistics2-19.2.17.jar"
"ae2","textures/block/vibration_chamber_back_on.png","block","16","32","True","True","False","115","appliedenergistics2-19.2.17.jar"
"ae2","textures/block/vibration_chamber_front_on.png","block","16","32","True","True","False","115","appliedenergistics2-19.2.17.jar"
