RegistryId,Texture,HostFamily,MineralFamily,LastDaysTemplate,AuthoredVariant,Frames,Method
more_ores_more_gems:amethyst_ore,more_ores_more_gems:block/amethyst_ore,stone,quartz,resourcepacks/LAST_DAYS_INFINITE_DOMAIN_1_21_1/assets/minecraft/textures/block/lapis_ore.png,ROOT_tools/more_ores_more_gems_authored_sources/authored_ore_variants/block/amethyst_ore.png,26,existing Last Days machinery artwork; material-indicator variant only; Nether chassis heat-treated
more_ores_more_gems:ametrine_ore,more_ores_more_gems:block/ametrine_ore,stone,quartz,resourcepacks/LAST_DAYS_INFINITE_DOMAIN_1_21_1/assets/minecraft/textures/block/lapis_ore.png,ROOT_tools/more_ores_more_gems_authored_sources/authored_ore_variants/block/ametrine_ore.png,26,existing Last Days machinery artwork; material-indicator variant only; Nether chassis heat-treated
more_ores_more_gems:aquamarine_ore,more_ores_more_gems:block/aquamarine_ore,stone,beryl,resourcepacks/LAST_DAYS_INFINITE_DOMAIN_1_21_1/assets/minecraft/textures/block/diamond_ore.png,ROOT_tools/more_ores_more_gems_authored_sources/authored_ore_variants/block/aquamarine_ore.png,21,existing Last Days machinery artwork; material-indicator variant only; Nether chassis heat-treated
more_ores_more_gems:autunite_ore,more_ores_more_gems:block/autunite_ore,stone,autunite,resourcepacks/LAST_DAYS_INFINITE_DOMAIN_1_21_1/assets/minecraft/textures/block/redstone_ore.png,ROOT_tools/more_ores_more_gems_authored_sources/authored_ore_variants/block/autunite_ore.png,44,existing Last Days machinery artwork; material-indicator variant only; Nether chassis heat-treated
more_ores_more_gems:black_opal_ore,more_ores_more_gems:block/blocksprite_black_opal_ore,stone,opal,resourcepacks/LAST_DAYS_INFINITE_DOMAIN_1_21_1/assets/minecraft/textures/block/emerald_ore.png,ROOT_tools/more_ores_more_gems_authored_sources/authored_ore_variants/block/blocksprite_black_opal_ore.png,6,existing Last Days machinery artwork; material-indicator variant only; Nether chassis heat-treated
more_ores_more_gems:carnelian_ore,more_ores_more_gems:block/carnelianore,stone,carnelian,resourcepacks/LAST_DAYS_INFINITE_DOMAIN_1_21_1/assets/minecraft/textures/block/diamond_ore.png,ROOT_tools/more_ores_more_gems_authored_sources/authored_ore_variants/block/carnelianore.png,21,existing Last Days machinery artwork; material-indicator variant only; Nether chassis heat-treated
more_ores_more_gems:citrine_ore,more_ores_more_gems:block/citrine_ore_new,stone,quartz,resourcepacks/LAST_DAYS_INFINITE_DOMAIN_1_21_1/assets/minecraft/textures/block/lapis_ore.png,ROOT_tools/more_ores_more_gems_authored_sources/authored_ore_variants/block/citrine_ore_new.png,26,existing Last Days machinery artwork; material-indicator variant only; Nether chassis heat-treated
more_ores_more_gems:deepslate_amethyst_ore,more_ores_more_gems:block/deepslate_amethyst_ore,deepslate,quartz,resourcepacks/LAST_DAYS_INFINITE_DOMAIN_1_21_1/assets/minecraft/textures/block/deepslate_lapis_ore.png,ROOT_tools/more_ores_more_gems_authored_sources/authored_ore_variants/block/deepslate_amethyst_ore.png,26,existing Last Days machinery artwork; material-indicator variant only; Nether chassis heat-treated
more_ores_more_gems:deepslate_ametrine_ore,more_ores_more_gems:block/deepslate_ametrine_ore,deepslate,quartz,resourcepacks/LAST_DAYS_INFINITE_DOMAIN_1_21_1/assets/minecraft/textures/block/deepslate_lapis_ore.png,ROOT_tools/more_ores_more_gems_authored_sources/authored_ore_variants/block/deepslate_ametrine_ore.png,26,existing Last Days machinery artwork; material-indicator variant only; Nether chassis heat-treated
more_ores_more_gems:deepslate_aquamarine_ore,more_ores_more_gems:block/deepslate_aquamarine_ore,deepslate,beryl,resourcepacks/LAST_DAYS_INFINITE_DOMAIN_1_21_1/assets/minecraft/textures/block/deepslate_diamond_ore.png,ROOT_tools/more_ores_more_gems_authored_sources/authored_ore_variants/block/deepslate_aquamarine_ore.png,21,existing Last Days machinery artwork; material-indicator variant only; Nether chassis heat-treated
more_ores_more_gems:deepslate_autunite_ore,more_ores_more_gems:block/deepslate_autunite_ore,deepslate,autunite,resourcepacks/LAST_DAYS_INFINITE_DOMAIN_1_21_1/assets/minecraft/textures/block/deepslate_redstone_ore.png,ROOT_tools/more_ores_more_gems_authored_sources/authored_ore_variants/block/deepslate_autunite_ore.png,1,existing Last Days machinery artwork; material-indicator variant only; Nether chassis heat-treated
