Category,RegistryId,Texture,SourceArt,DerivedOutput,SourceSize,OutputSize,Frames,Method
gem_storage_block,more_ores_more_gems:blockof_sapphire,more_ores_more_gems:block/637608873479978555,ROOT_tools/more_ores_more_gems_authored_sources/upstream_live/textures/block/637608873479978555.png,resourcepacks/LAST_DAYS_INFINITE_DOMAIN_1_21_1/assets/more_ores_more_gems/textures/block/637608873479978555.png,16x16,128x128,1,authored compressed-crystal and corundum relief; non-spatial palette swatches only; no upstream RGB overlay
ore_block,more_ores_more_gems:adamantite_ore,more_ores_more_gems:block/adamantiteore,ROOT_tools/more_ores_more_gems_authored_sources/generic_metal_ore_container/recolored_masters/block/adamantiteore_master.png,resourcepacks/LAST_DAYS_INFINITE_DOMAIN_1_21_1/assets/more_ores_more_gems/textures/block/adamantiteore.png,1254x1254,32x32,1,approved generic metallic ore container; sample insert and hazard-paint recolor only; 32px runtime
ore_block,more_ores_more_gems:amethyst_ore,more_ores_more_gems:block/amethyst_ore,ROOT_tools/more_ores_more_gems_authored_sources/generic_gem_containment/recolored_masters/block/amethyst_ore_master.png,resourcepacks/LAST_DAYS_INFINITE_DOMAIN_1_21_1/assets/more_ores_more_gems/textures/block/amethyst_ore.png,1254x1254,32x32,1,approved generic gem containment machinery; contained gem recolor only; 32px runtime
ore_block,more_ores_more_gems:ametrine_ore,more_ores_more_gems:block/ametrine_ore,ROOT_tools/more_ores_more_gems_authored_sources/generic_gem_containment/recolored_masters/block/ametrine_ore_master.png,resourcepacks/LAST_DAYS_INFINITE_DOMAIN_1_21_1/assets/more_ores_more_gems/textures/block/ametrine_ore.png,1254x1254,32x32,1,approved generic gem containment machinery; contained gem recolor only; 32px runtime
ore_block,more_ores_more_gems:antimony_ore,more_ores_more_gems:block/antimony_ore,ROOT_tools/more_ores_more_gems_authored_sources/generic_metal_ore_container/recolored_masters/block/antimony_ore_master.png,resourcepacks/LAST_DAYS_INFINITE_DOMAIN_1_21_1/assets/more_ores_more_gems/textures/block/antimony_ore.png,1254x1254,32x32,1,approved generic metallic ore container; sample insert and hazard-paint recolor only; 32px runtime
ore_block,more_ores_more_gems:deepslate_antimony_ore,more_ores_more_gems:block/antimony_ore_deepslate,ROOT_tools/more_ores_more_gems_authored_sources/generic_metal_ore_container/recolored_masters/block/antimony_ore_deepslate_master.png,resourcepacks/LAST_DAYS_INFINITE_DOMAIN_1_21_1/assets/more_ores_more_gems/textures/block/antimony_ore_deepslate.png,1254x1254,32x32,1,approved generic metallic ore container; sample insert and hazard-paint recolor only; 32px runtime
ore_block,more_ores_more_gems:aquamarine_ore,more_ores_more_gems:block/aquamarine_ore,ROOT_tools/more_ores_more_gems_authored_sources/generic_gem_containment/recolored_masters/block/aquamarine_ore_master.png,resourcepacks/LAST_DAYS_INFINITE_DOMAIN_1_21_1/assets/more_ores_more_gems/textures/block/aquamarine_ore.png,1254x1254,32x32,1,approved generic gem containment machinery; contained gem recolor only; 32px runtime
gem_storage_block,more_ores_more_gems:block_of_autunite_234,more_ores_more_gems:block/autunite_234_block,ROOT_tools/more_ores_more_gems_authored_sources/upstream_live/textures/block/autunite_234_block.png,resourcepacks/LAST_DAYS_INFINITE_DOMAIN_1_21_1/assets/more_ores_more_gems/textures/block/autunite_234_block.png,16x16,128x128,1,authored compressed-crystal and autunite relief; non-spatial palette swatches only; no upstream RGB overlay
gem_storage_block,more_ores_more_gems:block_of_autunite_235,more_ores_more_gems:block/autunite_235_block,ROOT_tools/more_ores_more_gems_authored_sources/upstream_live/textures/block/autunite_235_block.png,resourcepacks/LAST_DAYS_INFINITE_DOMAIN_1_21_1/assets/more_ores_more_gems/textures/block/autunite_235_block.png,16x16,128x128,1,authored compressed-crystal and autunite relief; non-spatial palette swatches only; no upstream RGB overlay
gem_storage_block,more_ores_more_gems:block_of_autunite_238,more_ores_more_gems:block/autunite_238_block,ROOT_tools/more_ores_more_gems_authored_sources/upstream_live/textures/block/autunite_238_block.png,resourcepacks/LAST_DAYS_INFINITE_DOMAIN_1_21_1/assets/more_ores_more_gems/textures/block/autunite_238_block.png,16x16,128x128,1,authored compressed-crystal and autunite relief; non-spatial palette swatches only; no upstream RGB overlay
ore_block,more_ores_more_gems:autunite_ore,more_ores_more_gems:block/autunite_ore,ROOT_tools/more_ores_more_gems_authored_sources/generic_gem_containment/recolored_masters/block/autunite_ore_master.png,resourcepacks/LAST_DAYS_INFINITE_DOMAIN_1_21_1/assets/more_ores_more_gems/textures/block/autunite_ore.png,1254x1254,32x32,1,approved generic gem containment machinery; contained gem recolor only; 32px runtime
