"recipe_id","result_id","result_count","correction","override_path"
"primitivestart:bone_arrow","primitivestart:bone_arrow","4","legacy result.item converted to Minecraft 1.21 result.id","kubejs/data/primitivestart/recipe/bone_arrow.json"
"primitivestart:bone_axe_left","primitivestart:bone_axe","1","legacy result.item converted to Minecraft 1.21 result.id","kubejs/data/primitivestart/recipe/bone_axe_left.json"
"primitivestart:bone_axe_right","primitivestart:bone_axe","1","legacy result.item converted to Minecraft 1.21 result.id","kubejs/data/primitivestart/recipe/bone_axe_right.json"
"primitivestart:bone_hoe_left","primitivestart:bone_hoe","1","legacy result.item converted to Minecraft 1.21 result.id","kubejs/data/primitivestart/recipe/bone_hoe_left.json"
"primitivestart:bone_hoe_right","primitivestart:bone_hoe","1","legacy result.item converted to Minecraft 1.21 result.id","kubejs/data/primitivestart/recipe/bone_hoe_right.json"
"primitivestart:bone_pickaxe","primitivestart:bone_pickaxe","1","legacy result.item converted to Minecraft 1.21 result.id","kubejs/data/primitivestart/recipe/bone_pickaxe.json"
"primitivestart:bone_shears_left","primitivestart:bone_shears","1","legacy result.item converted to Minecraft 1.21 result.id","kubejs/data/primitivestart/recipe/bone_shears_left.json"
"primitivestart:bone_shears_right","primitivestart:bone_shears","1","legacy result.item converted to Minecraft 1.21 result.id","kubejs/data/primitivestart/recipe/bone_shears_right.json"
"primitivestart:bone_shovel","primitivestart:bone_shovel","1","legacy result.item converted to Minecraft 1.21 result.id","kubejs/data/primitivestart/recipe/bone_shovel.json"
"primitivestart:bone_sword","primitivestart:bone_sword","1","legacy result.item converted to Minecraft 1.21 result.id","kubejs/data/primitivestart/recipe/bone_sword.json"
