"recipe_id","recipe_type","result_id","result_count","correction","override_path"
"primitivestart:bone_arrow","minecraft:crafting_shaped","primitivestart:bone_arrow","4","legacy result.item converted to Minecraft 1.21 result.id","kubejs/data/primitivestart/recipe/bone_arrow.json"
"primitivestart:bone_axe_left","minecraft:crafting_shaped","primitivestart:bone_axe","1","legacy result.item converted to Minecraft 1.21 result.id","kubejs/data/primitivestart/recipe/bone_axe_left.json"
"primitivestart:bone_axe_right","minecraft:crafting_shaped","primitivestart:bone_axe","1","legacy result.item converted to Minecraft 1.21 result.id","kubejs/data/primitivestart/recipe/bone_axe_right.json"
"primitivestart:bone_hoe_left","minecraft:crafting_shaped","primitivestart:bone_hoe","1","legacy result.item converted to Minecraft 1.21 result.id","kubejs/data/primitivestart/recipe/bone_hoe_left.json"
"primitivestart:bone_hoe_right","minecraft:crafting_shaped","primitivestart:bone_hoe","1","legacy result.item converted to Minecraft 1.21 result.id","kubejs/data/primitivestart/recipe/bone_hoe_right.json"
"primitivestart:bone_pickaxe","minecraft:crafting_shaped","primitivestart:bone_pickaxe","1","legacy result.item converted to Minecraft 1.21 result.id","kubejs/data/primitivestart/recipe/bone_pickaxe.json"
"primitivestart:bone_shears_left","minecraft:crafting_shaped","primitivestart:bone_shears","1","legacy result.item converted to Minecraft 1.21 result.id","kubejs/data/primitivestart/recipe/bone_shears_left.json"
"primitivestart:bone_shears_right","minecraft:crafting_shaped","primitivestart:bone_shears","1","legacy result.item converted to Minecraft 1.21 result.id","kubejs/data/primitivestart/recipe/bone_shears_right.json"
"primitivestart:bone_shovel","minecraft:crafting_shaped","primitivestart:bone_shovel","1","legacy result.item converted to Minecraft 1.21 result.id","kubejs/data/primitivestart/recipe/bone_shovel.json"
"primitivestart:bone_sword","minecraft:crafting_shaped","primitivestart:bone_sword","1","legacy result.item converted to Minecraft 1.21 result.id","kubejs/data/primitivestart/recipe/bone_sword.json"
"primitivestart:crafting_table","minecraft:crafting_shaped","minecraft:crafting_table","1","legacy result.item converted to Minecraft 1.21 result.id","kubejs/data/primitivestart/recipe/crafting_table.json"
"primitivestart:improvised_planks","minecraft:crafting_shaped","primitivestart:improvised_planks","1","legacy result.item converted to Minecraft 1.21 result.id","kubejs/data/primitivestart/recipe/improvised_planks.json"
"primitivestart:plated_bone_arrow","minecraft:smithing_transform","primitivestart:plated_bone_arrow","1","legacy result.item converted to Minecraft 1.21 result.id","kubejs/data/primitivestart/recipe/plated_bone_arrow.json"
