"id","node_kind","namespace"
"#ae2:all_certus_quartz","tag","ae2"
"#ae2:all_fluix","tag","ae2"
"#ae2:all_nether_quartz","tag","ae2"
"#ae2:all_quartz_dust","tag","ae2"
"#ae2:can_remove_color","tag","ae2"
"#ae2:covered_cable","tag","ae2"
"#ae2:covered_dense_cable","tag","ae2"
"#ae2:glass_cable","tag","ae2"
"#ae2:illuminated_panel","tag","ae2"
"#ae2:interface","tag","ae2"
"#ae2:knife","tag","ae2"
"#ae2:metal_ingots","tag","ae2"
"#ae2:pattern_provider","tag","ae2"
"#ae2:quartz_axe","tag","ae2"
"#ae2:quartz_hoe","tag","ae2"
"#ae2:quartz_pickaxe","tag","ae2"
"#ae2:quartz_shovel","tag","ae2"
"#ae2:quartz_sword","tag","ae2"
"#ae2:quartz_wrench","tag","ae2"
"#ae2:smart_cable","tag","ae2"
"#ae2:smart_dense_cable","tag","ae2"
"#ae2lt:overloaded_cable","tag","ae2lt"
"#alexscaves:cave_paintings","tag","alexscaves"
"#botania:petals/black","tag","botania"
"#botania:petals/blue","tag","botania"
"#botania:petals/brown","tag","botania"
"#botania:petals/cyan","tag","botania"
"#botania:petals/gray","tag","botania"
"#botania:petals/green","tag","botania"
"#botania:petals/light_blue","tag","botania"
"#botania:petals/light_gray","tag","botania"
"#botania:petals/lime","tag","botania"
"#botania:petals/magenta","tag","botania"
"#botania:petals/orange","tag","botania"
"#botania:petals/pink","tag","botania"
"#botania:petals/purple","tag","botania"
"#botania:petals/red","tag","botania"
"#botania:petals/white","tag","botania"
"#botania:petals/yellow","tag","botania"
"#c:ash","tag","c"
"#c:barrels/wooden","tag","c"
"#c:beer","tag","c"
"#c:bones","tag","c"
"#c:bones/wither","tag","c"
"#c:bookshelves","tag","c"
"#c:bricks","tag","c"
"#c:bricks/nether","tag","c"
"#c:buckets/water","tag","c"
"#c:carbon_fibre","tag","c"
"#c:chains","tag","c"
"#c:charcoal","tag","c"
"#c:chests","tag","c"
"#c:chests/wooden","tag","c"
"#c:chocolate","tag","c"
"#c:cider","tag","c"
"#c:circuits/advanced","tag","c"
"#c:circuits/basic","tag","c"
"#c:circuits/elite","tag","c"
"#c:clay","tag","c"
"#c:clumps/copper","tag","c"
"#c:clumps/gold","tag","c"
"#c:clumps/iron","tag","c"
"#c:clumps/lead","tag","c"
"#c:clumps/nickel","tag","c"
"#c:clumps/osmium","tag","c"
"#c:clumps/platinum","tag","c"
"#c:clumps/tin","tag","c"
"#c:clumps/uranium","tag","c"
"#c:clumps/zinc","tag","c"
"#c:coal_coke","tag","c"
"#c:cobblestones","tag","c"
"#c:cobblestones/normal","tag","c"
"#c:coins/aluminum","tag","c"
"#c:coins/brass","tag","c"
"#c:coins/bronze","tag","c"
"#c:coins/constantan","tag","c"
"#c:coins/copper","tag","c"
"#c:coins/electrum","tag","c"
"#c:coins/gold","tag","c"
"#c:coins/invar","tag","c"
"#c:coins/iron","tag","c"
"#c:coins/lead","tag","c"
"#c:coins/lithium","tag","c"
"#c:coins/necromium","tag","c"
"#c:coins/netherite","tag","c"
"#c:coins/nickel","tag","c"
"#c:coins/obdurium","tag","c"
"#c:coins/osmium","tag","c"
"#c:coins/silver","tag","c"
"#c:coins/steel","tag","c"
"#c:coins/tin","tag","c"
"#c:coins/tungsten","tag","c"
"#c:coins/void_steel","tag","c"
"#c:coins/zinc","tag","c"
"#c:concrete","tag","c"
"#c:copper_coils","tag","c"
"#c:creosote","tag","c"
"#c:crops/beetroot","tag","c"
"#c:crops/cabbage","tag","c"
"#c:crops/carrot","tag","c"
"#c:crops/flax","tag","c"
"#c:crops/onion","tag","c"
"#c:crops/potato","tag","c"
"#c:crops/rice","tag","c"
"#c:crops/tomato","tag","c"
"#c:crops/wheat","tag","c"
"#c:crude_oil","tag","c"
"#c:diesel","tag","c"
"#c:dirty_dusts/aluminum","tag","c"
"#c:dirty_dusts/brass","tag","c"
"#c:dirty_dusts/bronze","tag","c"
"#c:dirty_dusts/constantan","tag","c"
"#c:dirty_dusts/copper","tag","c"
"#c:dirty_dusts/electrum","tag","c"
"#c:dirty_dusts/gold","tag","c"
"#c:dirty_dusts/invar","tag","c"
"#c:dirty_dusts/iron","tag","c"
"#c:dirty_dusts/lead","tag","c"
"#c:dirty_dusts/lithium","tag","c"
"#c:dirty_dusts/necromium","tag","c"
"#c:dirty_dusts/netherite","tag","c"
"#c:dirty_dusts/nickel","tag","c"
"#c:dirty_dusts/obdurium","tag","c"
"#c:dirty_dusts/osmium","tag","c"
"#c:dirty_dusts/silver","tag","c"
"#c:dirty_dusts/steel","tag","c"
"#c:dirty_dusts/tin","tag","c"
"#c:dirty_dusts/tungsten","tag","c"
"#c:dirty_dusts/void_steel","tag","c"
"#c:dirty_dusts/zinc","tag","c"
"#c:doughs","tag","c"
"#c:drinks/milk","tag","c"
"#c:dusts/aluminum","tag","c"
"#c:dusts/amethyst","tag","c"
"#c:dusts/ardite","tag","c"
"#c:dusts/brass","tag","c"
"#c:dusts/bronze","tag","c"
"#c:dusts/certus_quartz","tag","c"
"#c:dusts/coal","tag","c"
"#c:dusts/coal_coke","tag","c"
"#c:dusts/cobalt","tag","c"
"#c:dusts/constantan","tag","c"
"#c:dusts/copper","tag","c"
"#c:dusts/diamond","tag","c"
"#c:dusts/electrum","tag","c"
"#c:dusts/ender_pearl","tag","c"
"#c:dusts/energized_crystal","tag","c"
"#c:dusts/energized_fluix_crystal","tag","c"
"#c:dusts/entro","tag","c"
"#c:dusts/fluix","tag","c"
"#c:dusts/flux","tag","c"
"#c:dusts/glowstone","tag","c"
"#c:dusts/gold","tag","c"
"#c:dusts/hop_graphite","tag","c"
"#c:dusts/invar","tag","c"
"#c:dusts/iron","tag","c"
"#c:dusts/lead","tag","c"
"#c:dusts/lithium","tag","c"
"#c:dusts/manyullyn","tag","c"
"#c:dusts/necromium","tag","c"
"#c:dusts/netherite","tag","c"
"#c:dusts/nickel","tag","c"
"#c:dusts/obdurium","tag","c"
"#c:dusts/obsidian","tag","c"
"#c:dusts/osmium","tag","c"
"#c:dusts/platinum","tag","c"
"#c:dusts/plutonium","tag","c"
"#c:dusts/quartz","tag","c"
"#c:dusts/redstone","tag","c"
"#c:dusts/refined_obsidian","tag","c"
"#c:dusts/rose_gold","tag","c"
"#c:dusts/saltpeter","tag","c"
"#c:dusts/silver","tag","c"
"#c:dusts/sky_stone","tag","c"
"#c:dusts/steel","tag","c"
"#c:dusts/sulfur","tag","c"
"#c:dusts/tin","tag","c"
"#c:dusts/tungsten","tag","c"
"#c:dusts/uranium","tag","c"
"#c:dusts/void_steel","tag","c"
"#c:dusts/wood","tag","c"
"#c:dusts/zinc","tag","c"
"#c:dyed/red","tag","c"
"#c:dyes","tag","c"
"#c:dyes/black","tag","c"
"#c:dyes/blue","tag","c"
"#c:dyes/brown","tag","c"
"#c:dyes/cyan","tag","c"
"#c:dyes/gray","tag","c"
"#c:dyes/green","tag","c"
"#c:dyes/light_blue","tag","c"
"#c:dyes/light_gray","tag","c"
"#c:dyes/lime","tag","c"
"#c:dyes/magenta","tag","c"
"#c:dyes/orange","tag","c"
"#c:dyes/pink","tag","c"
"#c:dyes/purple","tag","c"
"#c:dyes/red","tag","c"
"#c:dyes/white","tag","c"
"#c:dyes/yellow","tag","c"
"#c:eggs","tag","c"
"#c:ender_pearls","tag","c"
"#c:ethanol","tag","c"
"#c:fabric_hemp","tag","c"
"#c:feathers","tag","c"
"#c:fence_gates/wooden","tag","c"
"#c:fiber_hemp","tag","c"
"#c:flours/wheat","tag","c"
"#c:foods/berry","tag","c"
"#c:foods/bread","tag","c"
"#c:foods/cooked_bacon","tag","c"
"#c:foods/cooked_beef","tag","c"
"#c:foods/cooked_chicken","tag","c"
"#c:foods/cooked_egg","tag","c"
"#c:foods/cooked_meat","tag","c"
"#c:foods/cooked_mutton","tag","c"
"#c:foods/cooked_salmon","tag","c"
"#c:foods/dough","tag","c"
"#c:foods/food_poisoning","tag","c"
"#c:foods/leafy_green","tag","c"
"#c:foods/pasta","tag","c"
"#c:foods/raw_beef","tag","c"
"#c:foods/raw_chicken","tag","c"
"#c:foods/raw_cod","tag","c"
"#c:foods/raw_meat","tag","c"
"#c:foods/raw_mutton","tag","c"
"#c:foods/raw_pork","tag","c"
"#c:foods/safe_raw_fish","tag","c"
"#c:foods/vegetable","tag","c"
"#c:fuels/bio","tag","c"
"#c:fuels/block/bio","tag","c"
"#c:gasoline","tag","c"
"#c:gears/aluminum","tag","c"
"#c:gears/ardite","tag","c"
"#c:gears/brass","tag","c"
"#c:gears/bronze","tag","c"
"#c:gears/cobalt","tag","c"
"#c:gears/constantan","tag","c"
"#c:gears/copper","tag","c"
"#c:gears/electrum","tag","c"
"#c:gears/gold","tag","c"
"#c:gears/invar","tag","c"
"#c:gears/iron","tag","c"
"#c:gears/lead","tag","c"
"#c:gears/lithium","tag","c"
"#c:gears/manyullyn","tag","c"
"#c:gears/necromium","tag","c"
"#c:gears/netherite","tag","c"
"#c:gears/nickel","tag","c"
"#c:gears/obdurium","tag","c"
"#c:gears/osmium","tag","c"
"#c:gears/platinum","tag","c"
"#c:gears/rose_gold","tag","c"
"#c:gears/silver","tag","c"
"#c:gears/steel","tag","c"
"#c:gears/tin","tag","c"
"#c:gears/tungsten","tag","c"
"#c:gears/uranium","tag","c"
"#c:gears/void_steel","tag","c"
"#c:gears/zinc","tag","c"
"#c:gems/amethyst","tag","c"
"#c:gems/certus_quartz","tag","c"
"#c:gems/diamond","tag","c"
"#c:gems/emerald","tag","c"
"#c:gems/entro","tag","c"
"#c:gems/fluix","tag","c"
"#c:gems/fluorite","tag","c"
"#c:gems/lapis","tag","c"
"#c:gems/quartz","tag","c"
"#c:glass","tag","c"
"#c:glass_blocks","tag","c"
"#c:glass_blocks/cheap","tag","c"
"#c:glass_blocks/colorless","tag","c"
"#c:glass_panes","tag","c"
"#c:glass_panes/colorless","tag","c"
"#c:gravels","tag","c"
"#c:gunpowders","tag","c"
"#c:honey","tag","c"
"#c:ingots","tag","c"
"#c:ingots/adamant","tag","c"
"#c:ingots/aluminum","tag","c"
"#c:ingots/ardite","tag","c"
"#c:ingots/brass","tag","c"
"#c:ingots/bronze","tag","c"
"#c:ingots/cast_iron","tag","c"
"#c:ingots/cobalt","tag","c"
