"source","entry","error"
"appliedenergistics2-19.2.17.jar","data/ae2/recipe/shaped/not_so_mysterious_cube.json","Cannot convert the JSON string because it contains keys with different casing. Please use the -AsHashTable switch instead. The key that was attempted to be added to the existing key 'C' was 'c'."
"create-new-age-1.2.0+neoforge-mc1.21.1.jar","data/create_new_age/recipe/mechanical_crafting/reinforced_motor.json","Cannot convert the JSON string because it contains keys with different casing. Please use the -AsHashTable switch instead. The key that was attempted to be added to the existing key 'D' was 'd'."
"create-new-age-1.2.0+neoforge-mc1.21.1.jar","data/create_new_age/recipe/shaped/reinforced_energiser.json","Cannot convert the JSON string because it contains keys with different casing. Please use the -AsHashTable switch instead. The key that was attempted to be added to the existing key 'C' was 'c'."
"createbigcannons-5.11.7+mc.1.21.1.jar","data/createbigcannons/recipe/cannon_builder.json","Cannot convert the JSON string because it contains keys with different casing. Please use the -AsHashTable switch instead. The key that was attempted to be added to the existing key 'H' was 'h'."
"createbigcannons-5.11.7+mc.1.21.1.jar","data/createbigcannons/recipe/cannon_drill.json","Cannot convert the JSON string because it contains keys with different casing. Please use the -AsHashTable switch instead. The key that was attempted to be added to the existing key 'P' was 'p'."
"createbigcannons-5.11.7+mc.1.21.1.jar","data/createbigcannons/recipe/mortar_stone.json","Cannot convert the JSON string because it contains keys with different casing. Please use the -AsHashTable switch instead. The key that was attempted to be added to the existing key 'S' was 's'."
"createbigcannons-5.11.7+mc.1.21.1.jar","data/createbigcannons/recipe/quickfiring_mechanism.json","Cannot convert the JSON string because it contains keys with different casing. Please use the -AsHashTable switch instead. The key that was attempted to be added to the existing key 'C' was 'c'."
"createbigcannons-5.11.7+mc.1.21.1.jar","data/createbigcannons/recipe/shot_balls.json","Cannot convert the JSON string because it contains keys with different casing. Please use the -AsHashTable switch instead. The key that was attempted to be added to the existing key 'I' was 'i'."
"createbigcannons-5.11.7+mc.1.21.1.jar","data/createbigcannons/recipe/solid_shot.json","Cannot convert the JSON string because it contains keys with different casing. Please use the -AsHashTable switch instead. The key that was attempted to be added to the existing key 'I' was 'i'."
"createdieselgenerators-1.21.1-1.3.15.jar","data/createdieselgenerators/recipe/crafting/pumpjack_hole.json","Cannot convert the JSON string because it contains keys with different casing. Please use the -AsHashTable switch instead. The key that was attempted to be added to the existing key 'C' was 'c'."
"cyber_ware_port-1.21.1-1.7.1.jar","data/cyber_ware_port/recipe/charger.json","Cannot convert the JSON string because it contains keys with different casing. Please use the -AsHashTable switch instead. The key that was attempted to be added to the existing key 'G' was 'g'."
"ImmersiveEngineering-1.21.1-12.4.2-194.jar","data/immersiveengineering/recipe/crafting/blueprint_molds.json","Cannot convert the JSON string because it contains keys with different casing. Please use the -AsHashTable switch instead. The key that was attempted to be added to the existing key 'P' was 'p'."
"ImmersiveEngineering-1.21.1-12.4.2-194.jar","data/immersiveengineering/recipe/crafting/fluorescent_tube.json","Cannot convert the JSON string because it contains keys with different casing. Please use the -AsHashTable switch instead. The key that was attempted to be added to the existing key 'G' was 'g'."
"numismaticsutils-2.2-1.21.1.jar","data/numismaticsutils/recipe/bank_meter.json","Cannot convert the JSON string because it contains keys with different casing. Please use the -AsHashTable switch instead. The key that was attempted to be added to the existing key 'B' was 'b'."
"numismaticsutils-2.2-1.21.1.jar","data/numismaticsutils/recipe/portable_bank_terminal.json","Cannot convert the JSON string because it contains keys with different casing. Please use the -AsHashTable switch instead. The key that was attempted to be added to the existing key 'B' was 'b'."
"powergrid-mc1.21.1-0.5.5.1.jar","data/powergrid/recipe/crafting/voltage_gauge.json","Cannot convert the JSON string because it contains keys with different casing. Please use the -AsHashTable switch instead. The key that was attempted to be added to the existing key 'C' was 'c'."
"powergrid-mc1.21.1-0.5.5.1.jar","data/powergrid/recipe/mechanical_crafting/crt.json","Cannot convert the JSON string because it contains keys with different casing. Please use the -AsHashTable switch instead. The key that was attempted to be added to the existing key 'G' was 'g'."
"Infinite Domain override","createbigcannons/recipe/cannon_builder.json","Cannot convert the JSON string because it contains keys with different casing. Please use the -AsHashTable switch instead. The key that was attempted to be added to the existing key 'H' was 'h'."
"Infinite Domain override","createbigcannons/recipe/cannon_drill.json","Cannot convert the JSON string because it contains keys with different casing. Please use the -AsHashTable switch instead. The key that was attempted to be added to the existing key 'P' was 'p'."
"Infinite Domain override","createbigcannons/recipe/shot_balls.json","Cannot convert the JSON string because it contains keys with different casing. Please use the -AsHashTable switch instead. The key that was attempted to be added to the existing key 'I' was 'i'."
"Infinite Domain override","createbigcannons/recipe/solid_shot.json","Cannot convert the JSON string because it contains keys with different casing. Please use the -AsHashTable switch instead. The key that was attempted to be added to the existing key 'I' was 'i'."
"Infinite Domain override","create_new_age/recipe/shaped/reinforced_energiser.json","Cannot convert the JSON string because it contains keys with different casing. Please use the -AsHashTable switch instead. The key that was attempted to be added to the existing key 'C' was 'c'."
"Infinite Domain override","cyber_ware_port/recipe/charger.json","Cannot convert the JSON string because it contains keys with different casing. Please use the -AsHashTable switch instead. The key that was attempted to be added to the existing key 'G' was 'g'."
"Infinite Domain override","immersiveengineering/recipe/crafting/blueprint_molds.json","Cannot convert the JSON string because it contains keys with different casing. Please use the -AsHashTable switch instead. The key that was attempted to be added to the existing key 'P' was 'p'."
