recipe_id,recipe_namespace,recipe_path,recipe_type,enabled,winning_source_kind,winning_source,winning_source_path,definition_count,overridden,input_ids,output_ids,input_ref_count,output_ref_count,normalization_status,input_namespaces,output_namespaces,foreign_input_namespaces,cross_mod_candidate,scaling_class,iron_tier,scaling_replacement_count,scaling_replacements,recommended_override_path
ae2:decorative/cut_quartz_block,ae2,decorative/cut_quartz_block,minecraft:crafting_shaped,True,kubejs_override,Infinite Domain,kubejs/data/ae2/recipe/decorative/cut_quartz_block.json,2,True,allthecompressed:certus_quartz_block_1x,ae2:cut_quartz_block,4,4,complete,allthecompressed,ae2,allthecompressed,True,crafting_material_scaling,high,1,ae2:quartz_block -> allthecompressed:certus_quartz_block_1x,kubejs/data/ae2/recipe/decorative/cut_quartz_block.json
ae2:decorative/quartz_fixture,ae2,decorative/quartz_fixture,minecraft:crafting_shaped,True,kubejs_override,Infinite Domain,kubejs/data/ae2/recipe/decorative/quartz_fixture.json,2,True,ae2:charged_certus_quartz_crystal; allthecompressed:iron_block_2x,ae2:quartz_fixture,2,2,complete,ae2;allthecompressed,ae2,allthecompressed,True,crafting_material_scaling,high,1,minecraft:iron_ingot -> allthecompressed:iron_block_2x,kubejs/data/ae2/recipe/decorative/quartz_fixture.json
ae2:materials/advancedcard,ae2,materials/advancedcard,minecraft:crafting_shaped,True,kubejs_override,Infinite Domain,kubejs/data/ae2/recipe/materials/advancedcard.json,2,True,ae2:calculation_processor; allthecompressed:iron_block_2x; minecraft:diamond_block; minecraft:redstone_block,ae2:advanced_card,7,2,complete,ae2;allthecompressed;minecraft,ae2,allthecompressed,True,crafting_material_scaling,high,3,#c:dusts/redstone -> minecraft:redstone_block; #c:gems/diamond -> minecraft:diamond_block; #c:ingots/iron -> allthecompressed:iron_block_2x,kubejs/data/ae2/recipe/materials/advancedcard.json
ae2:materials/basiccard,ae2,materials/basiccard,minecraft:crafting_shaped,True,kubejs_override,Infinite Domain,kubejs/data/ae2/recipe/materials/basiccard.json,2,True,ae2:calculation_processor; allthecompressed:iron_block_2x; minecraft:gold_block; minecraft:redstone_block,ae2:basic_card,7,2,complete,ae2;allthecompressed;minecraft,ae2,allthecompressed,True,crafting_material_scaling,high,3,#c:dusts/redstone -> minecraft:redstone_block; #c:ingots/gold -> minecraft:gold_block; #c:ingots/iron -> allthecompressed:iron_block_2x,kubejs/data/ae2/recipe/materials/basiccard.json
ae2:misc/chests_sky_stone,ae2,misc/chests_sky_stone,minecraft:crafting_shaped,True,kubejs_override,Infinite Domain,kubejs/data/ae2/recipe/misc/chests_sky_stone.json,2,True,allthecompressed:sky_stone_block_1x,ae2:sky_stone_chest,8,1,complete,allthecompressed,ae2,allthecompressed,True,crafting_material_scaling,high,1,ae2:sky_stone_block -> allthecompressed:sky_stone_block_1x,kubejs/data/ae2/recipe/misc/chests_sky_stone.json
ae2:misc/tank_sky_stone,ae2,misc/tank_sky_stone,minecraft:crafting_shaped,True,kubejs_override,Infinite Domain,kubejs/data/ae2/recipe/misc/tank_sky_stone.json,2,True,ae2:quartz_glass; allthecompressed:sky_stone_block_1x,ae2:sky_stone_tank,9,1,complete,ae2;allthecompressed,ae2,allthecompressed,True,crafting_material_scaling,high,1,ae2:sky_stone_block -> allthecompressed:sky_stone_block_1x,kubejs/data/ae2/recipe/misc/tank_sky_stone.json
ae2:misc/tiny_tnt,ae2,misc/tiny_tnt,minecraft:crafting_shaped,True,kubejs_override,Infinite Domain,kubejs/data/ae2/recipe/misc/tiny_tnt.json,2,True,#ae2:all_quartz_dust; more_ores_more_gems:gunpowder_block,ae2:tiny_tnt,4,1,complete,ae2;more_ores_more_gems,ae2,more_ores_more_gems,True,crafting_material_scaling,high,1,minecraft:gunpowder -> more_ores_more_gems:gunpowder_block,kubejs/data/ae2/recipe/misc/tiny_tnt.json
ae2:network/blocks/cell_workbench,ae2,network/blocks/cell_workbench,minecraft:crafting_shaped,True,kubejs_override,Infinite Domain,kubejs/data/ae2/recipe/network/blocks/cell_workbench.json,2,True,#c:chests/wooden; #minecraft:wool; ae2:calculation_processor; allthecompressed:iron_block_2x,ae2:cell_workbench,9,1,complete,ae2;allthecompressed;c;minecraft,ae2,allthecompressed,True,crafting_material_scaling,high,1,#c:ingots/iron -> allthecompressed:iron_block_2x,kubejs/data/ae2/recipe/network/blocks/cell_workbench.json
ae2:network/blocks/crank,ae2,network/blocks/crank,minecraft:crafting_shaped,True,kubejs_override,Infinite Domain,kubejs/data/ae2/recipe/network/blocks/crank.json,2,True,minecraft:copper_block; quark:stick_block,ae2:crank,5,1,complete,minecraft;quark,ae2,quark,True,crafting_material_scaling,high,2,#c:ingots/copper -> minecraft:copper_block; #c:rods/wooden -> quark:stick_block,kubejs/data/ae2/recipe/network/blocks/crank.json
ae2:network/blocks/crystal_processing_charger,ae2,network/blocks/crystal_processing_charger,minecraft:crafting_shaped,True,kubejs_override,Infinite Domain,kubejs/data/ae2/recipe/network/blocks/crystal_processing_charger.json,2,True,allthecompressed:iron_block_2x; minecraft:copper_block,ae2:charger,7,1,complete,allthecompressed;minecraft,ae2,allthecompressed,True,crafting_material_scaling,high,2,#c:ingots/copper -> minecraft:copper_block; #c:ingots/iron -> allthecompressed:iron_block_2x,kubejs/data/ae2/recipe/network/blocks/crystal_processing_charger.json
