"recipe_id","recipe_type","dimension","inputs","original_output","tiered_output","status","source","source_path"
"bno:aluminum_ingot_from_basalt_aluminum_ore_blasting","minecraft:blasting","nether","bno:basalt_aluminum_ore","bno:aluminum_ingot","bno:aluminum_ingot","already_correct","BasicNetherOres-neoforge-1.21.1-10.1.0.jar","data/bno/recipe/aluminum_ingot_from_basalt_aluminum_ore_blasting.json"
"bno:aluminum_ingot_from_basalt_aluminum_ore_smelting","minecraft:smelting","nether","bno:basalt_aluminum_ore","bno:aluminum_ingot","bno:aluminum_ingot","already_correct","BasicNetherOres-neoforge-1.21.1-10.1.0.jar","data/bno/recipe/aluminum_ingot_from_basalt_aluminum_ore_smelting.json"
"bno:aluminum_ingot_from_nether_aluminum_ore_blasting","minecraft:blasting","nether","bno:nether_aluminum_ore","bno:aluminum_ingot","bno:aluminum_ingot","already_correct","BasicNetherOres-neoforge-1.21.1-10.1.0.jar","data/bno/recipe/aluminum_ingot_from_nether_aluminum_ore_blasting.json"
"bno:aluminum_ingot_from_nether_aluminum_ore_smelting","minecraft:smelting","nether","bno:nether_aluminum_ore","bno:aluminum_ingot","bno:aluminum_ingot","already_correct","BasicNetherOres-neoforge-1.21.1-10.1.0.jar","data/bno/recipe/aluminum_ingot_from_nether_aluminum_ore_smelting.json"
"bno:aluminum_ingot_from_soul_aluminum_ore_blasting","minecraft:blasting","nether","bno:soul_aluminum_ore","bno:aluminum_ingot","bno:aluminum_ingot","already_correct","BasicNetherOres-neoforge-1.21.1-10.1.0.jar","data/bno/recipe/aluminum_ingot_from_soul_aluminum_ore_blasting.json"
"bno:aluminum_ingot_from_soul_aluminum_ore_smelting","minecraft:smelting","nether","bno:soul_aluminum_ore","bno:aluminum_ingot","bno:aluminum_ingot","already_correct","BasicNetherOres-neoforge-1.21.1-10.1.0.jar","data/bno/recipe/aluminum_ingot_from_soul_aluminum_ore_smelting.json"
"bno:coal_from_basalt_coal_ore_blasting","minecraft:blasting","nether","bno:basalt_coal_ore","minecraft:coal","minecraft:coal","unchanged_no_equivalent","BasicNetherOres-neoforge-1.21.1-10.1.0.jar","data/bno/recipe/coal_from_basalt_coal_ore_blasting.json"
"bno:coal_from_basalt_coal_ore_smelting","minecraft:smelting","nether","bno:basalt_coal_ore","minecraft:coal","minecraft:coal","unchanged_no_equivalent","BasicNetherOres-neoforge-1.21.1-10.1.0.jar","data/bno/recipe/coal_from_basalt_coal_ore_smelting.json"
"bno:coal_from_nether_coal_ore_blasting","minecraft:blasting","nether","bno:nether_coal_ore","minecraft:coal","minecraft:coal","unchanged_no_equivalent","BasicNetherOres-neoforge-1.21.1-10.1.0.jar","data/bno/recipe/coal_from_nether_coal_ore_blasting.json"
"bno:coal_from_nether_coal_ore_smelting","minecraft:smelting","nether","bno:nether_coal_ore","minecraft:coal","minecraft:coal","unchanged_no_equivalent","BasicNetherOres-neoforge-1.21.1-10.1.0.jar","data/bno/recipe/coal_from_nether_coal_ore_smelting.json"
"bno:coal_from_soul_coal_ore_blasting","minecraft:blasting","nether","bno:soul_coal_ore","minecraft:coal","minecraft:coal","unchanged_no_equivalent","BasicNetherOres-neoforge-1.21.1-10.1.0.jar","data/bno/recipe/coal_from_soul_coal_ore_blasting.json"
"bno:coal_from_soul_coal_ore_smelting","minecraft:smelting","nether","bno:soul_coal_ore","minecraft:coal","minecraft:coal","unchanged_no_equivalent","BasicNetherOres-neoforge-1.21.1-10.1.0.jar","data/bno/recipe/coal_from_soul_coal_ore_smelting.json"
"bno:copper_ingot_from_basalt_copper_ore_blasting","minecraft:blasting","nether","bno:basalt_copper_ore","minecraft:copper_ingot","minecraft:copper_ingot","already_correct","BasicNetherOres-neoforge-1.21.1-10.1.0.jar","data/bno/recipe/copper_ingot_from_basalt_copper_ore_blasting.json"
"bno:copper_ingot_from_basalt_copper_ore_smelting","minecraft:smelting","nether","bno:basalt_copper_ore","minecraft:copper_ingot","minecraft:copper_ingot","already_correct","BasicNetherOres-neoforge-1.21.1-10.1.0.jar","data/bno/recipe/copper_ingot_from_basalt_copper_ore_smelting.json"
"bno:copper_ingot_from_nether_copper_ore_blasting","minecraft:blasting","nether","bno:nether_copper_ore","minecraft:copper_ingot","minecraft:copper_ingot","already_correct","BasicNetherOres-neoforge-1.21.1-10.1.0.jar","data/bno/recipe/copper_ingot_from_nether_copper_ore_blasting.json"
"bno:copper_ingot_from_nether_copper_ore_smelting","minecraft:smelting","nether","bno:nether_copper_ore","minecraft:copper_ingot","minecraft:copper_ingot","already_correct","BasicNetherOres-neoforge-1.21.1-10.1.0.jar","data/bno/recipe/copper_ingot_from_nether_copper_ore_smelting.json"
"bno:copper_ingot_from_soul_copper_ore_blasting","minecraft:blasting","nether","bno:soul_copper_ore","minecraft:copper_ingot","minecraft:copper_ingot","already_correct","BasicNetherOres-neoforge-1.21.1-10.1.0.jar","data/bno/recipe/copper_ingot_from_soul_copper_ore_blasting.json"
"bno:copper_ingot_from_soul_copper_ore_smelting","minecraft:smelting","nether","bno:soul_copper_ore","minecraft:copper_ingot","minecraft:copper_ingot","already_correct","BasicNetherOres-neoforge-1.21.1-10.1.0.jar","data/bno/recipe/copper_ingot_from_soul_copper_ore_smelting.json"
"bno:diamond_from_basalt_diamond_ore_blasting","minecraft:blasting","nether","bno:basalt_diamond_ore","minecraft:diamond","minecraft:diamond","unchanged_no_equivalent","BasicNetherOres-neoforge-1.21.1-10.1.0.jar","data/bno/recipe/diamond_from_basalt_diamond_ore_blasting.json"
"bno:diamond_from_basalt_diamond_ore_smelting","minecraft:smelting","nether","bno:basalt_diamond_ore","minecraft:diamond","minecraft:diamond","unchanged_no_equivalent","BasicNetherOres-neoforge-1.21.1-10.1.0.jar","data/bno/recipe/diamond_from_basalt_diamond_ore_smelting.json"
"bno:diamond_from_nether_diamond_ore_blasting","minecraft:blasting","nether","bno:nether_diamond_ore","minecraft:diamond","minecraft:diamond","unchanged_no_equivalent","BasicNetherOres-neoforge-1.21.1-10.1.0.jar","data/bno/recipe/diamond_from_nether_diamond_ore_blasting.json"
"bno:diamond_from_nether_diamond_ore_smelting","minecraft:smelting","nether","bno:nether_diamond_ore","minecraft:diamond","minecraft:diamond","unchanged_no_equivalent","BasicNetherOres-neoforge-1.21.1-10.1.0.jar","data/bno/recipe/diamond_from_nether_diamond_ore_smelting.json"
"bno:diamond_from_soul_diamond_ore_blasting","minecraft:blasting","nether","bno:soul_diamond_ore","minecraft:diamond","minecraft:diamond","unchanged_no_equivalent","BasicNetherOres-neoforge-1.21.1-10.1.0.jar","data/bno/recipe/diamond_from_soul_diamond_ore_blasting.json"
"bno:diamond_from_soul_diamond_ore_smelting","minecraft:smelting","nether","bno:soul_diamond_ore","minecraft:diamond","minecraft:diamond","unchanged_no_equivalent","BasicNetherOres-neoforge-1.21.1-10.1.0.jar","data/bno/recipe/diamond_from_soul_diamond_ore_smelting.json"
"bno:emerald_from_basalt_emerald_ore_blasting","minecraft:blasting","nether","bno:basalt_emerald_ore","minecraft:emerald","minecraft:emerald","unchanged_no_equivalent","BasicNetherOres-neoforge-1.21.1-10.1.0.jar","data/bno/recipe/emerald_from_basalt_emerald_ore_blasting.json"
"bno:emerald_from_basalt_emerald_ore_smelting","minecraft:smelting","nether","bno:basalt_emerald_ore","minecraft:emerald","minecraft:emerald","unchanged_no_equivalent","BasicNetherOres-neoforge-1.21.1-10.1.0.jar","data/bno/recipe/emerald_from_basalt_emerald_ore_smelting.json"
"bno:emerald_from_nether_emerald_ore_blasting","minecraft:blasting","nether","bno:nether_emerald_ore","minecraft:emerald","minecraft:emerald","unchanged_no_equivalent","BasicNetherOres-neoforge-1.21.1-10.1.0.jar","data/bno/recipe/emerald_from_nether_emerald_ore_blasting.json"
