"structure","original_biomes","tuned_biomes","terrain_adaptation","original_placement_type","tuned_placement_type","original_spacing","original_separation","ring_distance_chunks","approximate_radius_blocks","candidate_count"
"spore:biomass_tower","minecraft:mushroom_fields","#spore:infinite_domain_wasteland_landmark_biomes","beard_thin","minecraft:random_spread","minecraft:concentric_rings","3","1","21","1344","3"
"spore:cathedral","minecraft:forest","#spore:infinite_domain_wasteland_landmark_biomes","beard_thin","minecraft:random_spread","minecraft:concentric_rings","48","16","21","1344","3"
"spore:cell","minecraft:savanna","#spore:infinite_domain_wasteland_landmark_biomes","beard_thin","minecraft:random_spread","minecraft:concentric_rings","32","10","3","192","3"
"spore:celltower","minecraft:forest","#spore:infinite_domain_wasteland_landmark_biomes","beard_thin","minecraft:random_spread","minecraft:concentric_rings","32","10","13","832","3"
"spore:church","minecraft:dark_forest","#spore:infinite_domain_wasteland_landmark_biomes","beard_thin","minecraft:random_spread","minecraft:concentric_rings","32","10","7","448","3"
"spore:hospital","minecraft:plains","#spore:infinite_domain_wasteland_landmark_biomes","beard_thin","minecraft:random_spread","minecraft:concentric_rings","48","40","17","1088","3"
"spore:iceberg_mines","minecraft:frozen_ocean","minecraft:frozen_ocean","beard_thin","minecraft:random_spread","minecraft:concentric_rings","35","25","39","2496","3"
"spore:lab","minecraft:mushroom_fields","#spore:infinite_domain_wasteland_landmark_biomes","bury","minecraft:random_spread","minecraft:concentric_rings","32","10","11","704","3"
"spore:lodge","minecraft:taiga","#spore:infinite_domain_wasteland_landmark_biomes","beard_thin","minecraft:random_spread","minecraft:concentric_rings","32","10","9","576","3"
"spore:mass_grave","minecraft:plains","#spore:infinite_domain_wasteland_landmark_biomes","bury","minecraft:random_spread","minecraft:concentric_rings","32","10","5","320","3"
"spore:military_camp","minecraft:desert","#spore:infinite_domain_wasteland_landmark_biomes","beard_thin","minecraft:random_spread","minecraft:concentric_rings","32","10","15","960","3"
"spore:mines","#spore:cold_biome","#spore:cold_biome","bury","minecraft:random_spread","minecraft:concentric_rings","35","25","36","2304","3"
"spore:prison","minecraft:jungle","#spore:infinite_domain_wasteland_landmark_biomes","bury","minecraft:random_spread","minecraft:concentric_rings","32","10","19","1216","3"
