loot_table,item,weight,min_count,max_count
document_chest,minecraft:paper,24,2,8
document_chest,minecraft:book,12,1,1
document_chest,minecraft:writable_book,5,1,1
document_chest,spore:documents,12,1,2
document_chest,spore:circuit_board,3,1,1
document_chest,enviromine:pda,1,1,1
equipment_chest,the_wasteland_reworked:bandage,20,1,3
equipment_chest,minecraft:arrow,14,4,12
equipment_chest,minecraft:shield,4,1,1
equipment_chest,minecraft:iron_helmet,3,1,1
equipment_chest,minecraft:iron_chestplate,2,1,1
equipment_chest,minecraft:iron_leggings,2,1,1
equipment_chest,minecraft:iron_boots,3,1,1
equipment_chest,enviromine:gas_mask_basic_helmet,6,1,1
equipment_chest,enviromine:hard_hat_helmet,5,1,1
equipment_chest,enviromine:air_filter,12,1,2
equipment_chest,spore:gas_mask,5,1,1
equipment_chest,enviromine:vent_pipe,10,2,6
equipment_chest,enviromine:vent_pipe_h,10,2,6
equipment_chest,enviromine:vent_pipe_o,7,1,4
equipment_chest,enviromine:vent_intake,5,1,1
equipment_chest,enviromine:vent,3,1,1
equipment_chest,spore:compound_plate,7,1,3
equipment_chest,spore:circuit_board,5,1,1
equipment_chest,spore:syringe,8,1,2
equipment_chest,spore:scanner,1,1,1
food_chest,wastelands:canned_food,16,1,3
food_chest,the_wasteland_reworked:canned_food,14,1,3
food_chest,wastelands:purified_water,24,1,3
food_chest,minecraft:bread,12,1,3
food_chest,minecraft:cooked_beef,7,1,3
food_chest,minecraft:cooked_chicken,7,1,3
food_chest,minecraft:milk_bucket,3,1,1
food_chest,the_wasteland_reworked:bandage,8,1,2
ice_chest,minecraft:ice,24,2,8
ice_chest,minecraft:packed_ice,15,1,5
ice_chest,minecraft:blue_ice,4,1,2
ice_chest,minecraft:snow_block,14,2,8
ice_chest,spore:ice_canister,5,1,2
ice_chest,enviromine:air_filter,5,1,1
organ_chest,spore:mutated_heart,12,1,2
organ_chest,spore:innards,14,1,3
organ_chest,spore:alveolic_sack,9,1,2
organ_chest,spore:armor_fragment,14,1,4
organ_chest,spore:mutated_fiber,16,1,4
organ_chest,spore:cerebrum,4,1,1
organ_chest,spore:tendons,12,1,3
organ_chest,spore:altered_spleen,3,1,1
organ_chest,spore:tumor,16,1,3
