asset_id,player_scale_walkthrough,rotation_and_connectors,terrain_placement_and_feathering,runtime_lostcities_codec,reviewer,reviewed_at,notes
infinite_domain:abandoned_bungalow,pending,pending,pending,pending,,,
infinite_domain:dilapidated_grocery,pending,pending,pending,pending,,,
infinite_domain:ruined_gas_station,pending,pending,pending,pending,,,
infinite_domain:corporate_warehouse,pending,pending,pending,pending,,,
infinite_domain:ruined_fire_station,pending,pending,pending,pending,,,
infinite_domain:ruined_hospital,pending,pending,pending,pending,,,
infinite_domain:ruined_police_precinct,pending,pending,pending,pending,,,
infinite_domain:ruined_courthouse,pending,pending,pending,pending,,,
infinite_domain:abandoned_create_factory,pending,pending,pending,pending,,,
infinite_domain:bunker_network,pending,pending,pending,pending,,,
infinite_domain:survivor_cache,pending,pending,pending,pending,,,
infinite_domain:trade_outpost,pending,pending,pending,pending,,,
infinite_domain:decayed_farm,pending,pending,pending,pending,,,
infinite_domain:trailer_park,pending,pending,pending,pending,,,
infinite_domain:mountain_military_complex,pending,pending,pending,pending,,,
infinite_domain:mountain_biohazard_lab,pending,pending,pending,pending,,,
infinite_domain:decayed_logging_camp,pending,pending,pending,pending,,,
infinite_domain:bombed_data_center,pending,pending,pending,pending,,,
infinite_domain:hydroelectric_refuge_dam,pending,pending,pending,pending,,,
infinite_domain:toppled_skyscraper,pending,pending,pending,pending,,,
infinite_domain:blown_apartment_complex,pending,pending,pending,pending,,,
infinite_domain:ruined_mixed_use_block,pending,pending,pending,pending,,,
infinite_domain:sunken_city_front,pending,pending,pending,pending,,,
infinite_domain:pancaked_parking_structure,pending,pending,pending,pending,,,
infinite_domain:cratered_downtown_intersection,pending,pending,pending,pending,,,
infinite_domain:abandoned_motel,pending,pending,pending,pending,,,
infinite_domain:freight_depot,pending,pending,pending,pending,,,
infinite_domain:radio_mast,pending,pending,pending,pending,,,
infinite_domain:wrecked_sedan,pending,pending,pending,pending,,,
infinite_domain:delivery_van,pending,pending,pending,pending,,,
infinite_domain:battle_tank,pending,pending,pending,pending,,,
infinite_domain:service_garage,pending,pending,pending,pending,,,
infinite_domain:scrapyard,pending,pending,pending,pending,,,
infinite_domain:military_checkpoint,pending,pending,pending,pending,,,
infinite_domain:ruined_roadside_diner,pending,pending,pending,pending,,,
infinite_domain:abandoned_truck_stop,pending,pending,pending,pending,,,
infinite_domain:wasteland_weigh_station,pending,pending,pending,pending,,,
infinite_domain:destroyed_refugee_convoy,pending,pending,pending,pending,,,
infinite_domain:split_level_house,pending,pending,pending,pending,,,
infinite_domain:abandoned_culdesac,pending,pending,pending,pending,,,
infinite_domain:emergency_relief_shelter,pending,pending,pending,pending,,,
infinite_domain:tenement_courtyard,pending,pending,pending,pending,,,
infinite_domain:ruined_rowhouse_block,pending,pending,pending,pending,,,
infinite_domain:shattered_luxury_condo,pending,pending,pending,pending,,,
infinite_domain:ruined_city_school,pending,pending,pending,pending,,,
infinite_domain:ruined_community_center,pending,pending,pending,pending,,,
infinite_domain:decayed_ranch,pending,pending,pending,pending,,,
infinite_domain:roadside_church_cemetery,pending,pending,pending,pending,,,
infinite_domain:ruined_ranger_station,pending,pending,pending,pending,,,
infinite_domain:wasteland_fire_lookout,pending,pending,pending,pending,,,
infinite_domain:ruined_shopping_mall,pending,pending,pending,pending,,,
infinite_domain:ruined_department_store,pending,pending,pending,pending,,,
infinite_domain:bombed_hotel,pending,pending,pending,pending,,,
infinite_domain:buried_bank_vault,pending,pending,pending,pending,,,
infinite_domain:ruined_office_tower,pending,pending,pending,pending,,,
infinite_domain:collapsed_subway_station,pending,pending,pending,pending,,,
infinite_domain:ruined_bus_terminal,pending,pending,pending,pending,,,
infinite_domain:elevated_rail_collapse,pending,pending,pending,pending,,,
infinite_domain:sunken_highway_interchange,pending,pending,pending,pending,,,
infinite_domain:collapsed_airship_terminal,pending,pending,pending,pending,,,
infinite_domain:crashed_cargo_airship,pending,pending,pending,pending,,,
infinite_domain:warm_industrial_mountain_port,pending,pending,pending,pending,,,
infinite_domain:cold_industrial_mountain_port,pending,pending,pending,pending,,,
infinite_domain:abandoned_quarry,pending,pending,pending,pending,,,
infinite_domain:collapsed_mine_entrance,pending,pending,pending,pending,,,
infinite_domain:excavator_pit,pending,pending,pending,pending,,,
infinite_domain:abandoned_oil_field,pending,pending,pending,pending,,,
infinite_domain:abandoned_orchard_cannery,pending,pending,pending,pending,,,
infinite_domain:ruined_grain_elevator,pending,pending,pending,pending,,,
infinite_domain:shattered_greenhouse_nursery,pending,pending,pending,pending,,,
infinite_domain:remote_sawmill,pending,pending,pending,pending,,,
infinite_domain:industrial_facility,pending,pending,pending,pending,,,
infinite_domain:city_electrical_substation,pending,pending,pending,pending,,,
infinite_domain:city_water_treatment_plant,pending,pending,pending,pending,,,
infinite_domain:district_heating_station,pending,pending,pending,pending,,,
infinite_domain:municipal_incinerator,pending,pending,pending,pending,,,
infinite_domain:ruined_fuel_depot,pending,pending,pending,pending,,,
infinite_domain:ruined_cyberware_clinic,pending,pending,pending,pending,,,
infinite_domain:ae2_records_archive,pending,pending,pending,pending,,,
infinite_domain:nuclear_research_annex,pending,pending,pending,pending,,,
infinite_domain:shattered_wind_farm,pending,pending,pending,pending,,,
infinite_domain:broken_solar_field,pending,pending,pending,pending,,,
infinite_domain:wilderness_substation,pending,pending,pending,pending,,,
infinite_domain:wasteland_water_tower,pending,pending,pending,pending,,,
