asset_id,visual_module_boundary_review,connector_and_rotation_test,assembly_with_adjacent_modules,terrain_and_coastline_placement,reviewer,reviewed_at,notes
infinite_domain:harbor_loading_pier_warm,pending,pending,pending,pending,,,
infinite_domain:harbor_loading_pier_cold,pending,pending,pending,pending,,,
infinite_domain:port_customs_warehouse,pending,pending,pending,pending,,,
infinite_domain:port_tunnel_control,pending,pending,pending,pending,,,
infinite_domain:mountain_transport_tunnel_warm,pending,pending,pending,pending,,,
infinite_domain:mountain_transport_tunnel_cold,pending,pending,pending,pending,,,
infinite_domain:fuel_tank_containment_cell,pending,pending,pending,pending,,,
infinite_domain:fuel_loading_rack,pending,pending,pending,pending,,,
infinite_domain:market_stall_provisions,pending,pending,pending,pending,,,
infinite_domain:market_stall_medicine,pending,pending,pending,pending,,,
infinite_domain:market_stall_repair,pending,pending,pending,pending,,,
infinite_domain:market_stall_livestock,pending,pending,pending,pending,,,
infinite_domain:market_trade_lodge,pending,pending,pending,pending,,,
infinite_domain:market_square_well,pending,pending,pending,pending,,,
infinite_domain:industrial_office_annex,pending,pending,pending,pending,,,
infinite_domain:industrial_truck_dock_bank,pending,pending,pending,pending,,,
infinite_domain:industrial_storage_rack_bay,pending,pending,pending,pending,,,
infinite_domain:industrial_rail_loading_platform,pending,pending,pending,pending,,,
infinite_domain:industrial_dispatch_annex,pending,pending,pending,pending,,,
infinite_domain:industrial_process_line,pending,pending,pending,pending,,,
infinite_domain:industrial_powerhouse,pending,pending,pending,pending,,,
